원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W3-V1-03,part-01.html,11,파일이 있다와 작동한다는 다릅니다,목록으로는 알 수 없다 — 실제로 열어 봐야 안다,개념,contrast,본편,3차시,part-02,15,M4,[본문] 전: 제목 「파일이 있다와 작동한다는 다릅니다」 · 좌 h3 「파일 목록으로 보면」 · 좌 li 「index.html 있음」/「style.css 있음」/「script.js 있음」 · 우 li 「브라우저가 그새 업데이트됐을 수 있습니다」/「마지막에 고치다 만 부분이 남았을 수 있습니다」 → 후: 제목 「열이 있다와 값이 맞다는 다릅니다」 · 좌 h3 「열 목록으로 보면」 · 좌 li 「order_id 있음」/「quantity 있음」/「rating 있음」 · 우 li 「같은 주문이 두 번 들어 있을 수 있습니다」/「비어 있거나 있을 수 없는 값이 섞여 있을 수 있습니다」. 좌 li 「전부 그대로 있으니 괜찮아 보입니다」 · 우 h3 「실제로 열어 보면」 · 우 li 「목록으로는 알 수 없습니다」 · callout 「나중에 발견하면 원인을 찾기 어렵습니다. 그래서 지금 확인하는 게 가장 좋습니다」는 원문 그대로. .cc-grid/.cc-side/.cc-neq(≠) 구조와 좌 4항목 · 우 3항목 개수 불변. [SVG/접근성] <text> 0건 · aria-label 0건 — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 12 중 5 유지 = 42%.,열 이름 3개(order_id · quantity · rating)는 mock_ecommerce_orders.csv 헤더에서 직접 확인한 실재 열이다. attempt-01이 M6 N-06으로 새로 그리려던 슬라이드를 원본 보존으로 되돌린 것이라 N-06은 폐기된다.,1.0,attempt-01의 과도 제외를 정정(독립 검토 R-MAP3 치명 4 · 오케스트레이터 판정 「보존 M4」). callout 전문 · 우측 3번째 li · 좌측 4번째 li가 그대로 살고 대비 골격이 불변이라 M4 범위. 「목록 ≠ 실제」 논리가 3차시 「열이 있다 ≠ 값이 맞다」와 동형이다.
VC-W3-V1-05,part-01.html,12,백업,지금 상태를 그대로 복제해 따로 둔다 — 원본은 손대지 않는다,개념정의,concept,본편,3차시,part-04,31,M4,[본문] 전: 제목 「백업」 · s-body 「오늘은 여러 담당이 서로 다른 파일을 건드립니다. 한 곳이 잘못돼도 통째로 되돌아올 수 있어야 합니다」 · 도해 박스1(클래스 없음) 「내 프로젝트 / 지금 상태 — 원본」 · 박스2(.is-keep) 「백업_2026-08-09 / 복제본 — 손대지 않습니다」 · 화살표2(.is-stay) 「원본에서 계속」 · 박스3(.is-work) 「내 프로젝트 / 여기서 계속 작업합니다」 → 후: 제목 「원본과 파생」 · s-body 「오늘은 남이 준 데이터를 정리합니다. 원본이 그대로 남아 있어야 언제든 다시 셀 수 있습니다」 · 박스1(.is-keep 이동) 「mock_ecommerce_orders.csv / 지금 상태 — 원본」 · 박스2(클래스 없음) 「분석대상.csv / 파생본 — 여기서 정리합니다」 · 화살표2(.is-stay) 「파생본에서 계속」 · 박스3(.is-work) 「dashboard.html / 여기서 계속 작업합니다」. 강조 클래스를 신설하지 않고 is-keep을 박스2 → 박스1로 «이동»만 한다 — 박스 3개 · 화살표 2개 · 클래스 종류(없음 / is-keep / is-work / is-stay) 전부 불변. 정의문 「지금 상태를 그대로 복제해 따로 두는 것입니다」 · 화살표1 「복제」 · 게임 세이브 비유 callout은 원문 그대로. [SVG/접근성] <text> 0건 · aria-label 0건(도해가 .w3-bk div 스택) — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 13 중 6 유지 = 46%.,attempt-01은 is-keep(손대지 않는 쪽)을 파생본 박스에 남겨 두어 강조가 뒤집혀 있었다(독립 검토 R-MAP3 치명 3). 오케스트레이터가 「클래스 이동만 · 구조 불변」으로 승인(attempt-02). 제목 교체(「백업」→「원본과 파생」)는 D-01에 함께 묶는다.,1.5,강제 메시지 4 「원본 데이터는 수정하지 않는다」의 실체 슬라이드. 원본 → 복제 도해가 커리큘럼의 원본 CSV → 분석대상.csv와 1:1로 맞는다. 생존율 실측은 변경내용 [생존] 항 참조.
VC-W3-V1-06,part-01.html,13,백업 만들기,실습① 폴더를 통째로 복제,실습안내,screen-operation,실습안내,3차시,part-04,33,M4,"[본문] 전: s-eyebrow 「실습 ①」 · 제목 「백업 만들기」 · 3단계 「프로젝트 폴더를 통째로 복제합니다」/「폴더 이름에 백업과 오늘 날짜를 넣습니다 — 어느 쪽이 원본인지 헷갈리지 않게」/「복제한 뒤 작업은 원래 폴더에서 계속합니다」 · 프롬프트 「지금 폴더 상태를 그대로 복제해서 상위 폴더인 VibeCoding 폴더에 백업_2026-08-09 폴더로 남겨 줘. 이후 작업은 원본 폴더에서 계속할게」 → 후: 「실습 ⑤」 · 「원본 CSV 보존하기」 · 「원본 mock_ecommerce_orders.csv는 열어 보기만 하고 사본을 만듭니다」/「사본 이름에 분석대상을 넣습니다 — 어느 쪽이 원본인지 헷갈리지 않게」/「사본을 만든 뒤 정리 작업은 사본에서만 합니다」 · 프롬프트 「mock_ecommerce_orders.csv는 절대 수정하지 마. 사본을 분석대상.csv로 만들고, 정리는 사본에서만 해 줘. 끝나면 원본의 행 수와 파일 크기가 그대로인지 알려 줘」. 단계 번호 1·2·3 · 터미널 바 「이렇게 말하세요」 · .w3-ask/.eval-steps 골격은 원문 그대로. [SVG/접근성] <text> 0건 · aria-label 1건 전: 「AI에게 그대로 입력하는 요청문」 → 후: 원문 그대로(도구 독립) — 교체 0건. [생존] 텍스트 단위 12 중 6 유지 = 50%.",실습 번호는 새 덱의 9개 실습 순서(N-04① · N-10② · N-13③ · N-15④ · V1-06⑤ · N-23⑥ · N-24⑦ · N-26⑧ · N-29⑨)에 맞춰 ⑤로 재지정. 프롬프트에 Antigravity 메뉴 이름은 넣지 않는다(D-05).,1.5,attempt-01의 과도 제외를 정정하면서 독립 검토 비치명 N5(「원본 CSV 보존」 실습 슬라이드 부재)를 동시에 해결한다. 3단계 + 프롬프트 골격과 「어느 쪽이 원본인지 헷갈리지 않게」 문구가 그대로 살아 M4 범위. 강제 메시지 4의 실습 짝이다.
VC-W3-V1-07,part-01.html,14,화면에 생기를 더합니다,첫 수정은 가볍게 — 마우스 오버 효과,개념,concept,제외,없음,없음,없음,없음,제외 · 골격 재사용 없음,없음,0,3차시 개념 목록(파일 활용 범위·확인→계획→승인→실행·원본/파생 분리·중복/결측/이상값·답할 수 있는 질문·제작자/검토자 분리·근거 재사용) 어디에도 대응되지 않음.
VC-W3-V1-08,part-01.html,15,참고할 움직임 세 가지,버튼·카드·아이콘 — 복사가 아니라 관찰,개념,classification,제외,없음,없음,없음,없음,제외 · 골격 재사용 없음,없음,0,3차시 개념 목록(파일 활용 범위·확인→계획→승인→실행·원본/파생 분리·중복/결측/이상값·답할 수 있는 질문·제작자/검토자 분리·근거 재사용) 어디에도 대응되지 않음.
VC-W3-V1-09,part-01.html,16,내 화면에 움직임 하나 넣기,실습② 효과 하나만 넣고 나머지는 그대로,실습안내,screen-operation,제외,없음,없음,없음,없음,제외 · 골격 재사용 없음,없음,0,3차시 개념 목록(파일 활용 범위·확인→계획→승인→실행·원본/파생 분리·중복/결측/이상값·답할 수 있는 질문·제작자/검토자 분리·근거 재사용) 어디에도 대응되지 않음.
VC-W3-V1-11,part-01.html,17,밖에 나가면 안 되는 파일부터 걸러 둡니다,비밀번호·API 키·개인 연락처·남의 자료·내 경로는 미리 뺀다,점검,checklist,부록,3차시,부록,A1,없음,원본 그대로 수록 · 표기 수정 없음,3차시 배포는 소개 3분뿐이라 본편 시간이 없다. 부록 수록 여부는 결정요청 D-08.,0,메시지가 과정 전반(개인정보·민감정보)에 유효하고 도구 특정 문구가 없어 그대로 복사 가능. 다만 본편 시간표에는 자리가 없다.
VC-W3-V1-12,part-01.html,18,이제 담당을 나눌 준비가 됐습니다,네 가지 점검이 끝났으니 다음은 분리 기준,파트마무리,declaration,제외,없음,없음,없음,없음,제외 · declaration 골격은 재사용 후보로만 기록(현 구조안에 파트마무리 슬라이드를 두지 않음),체크 4개(실행 확인·백업·수정·공개 금지 파일)가 전부 3주차 실습 결과라 문장 전량 교체.,0,보존 판정 규칙 미달 — 본문 소재가 3주차 프로젝트 전용이라 데이터 맥락으로 옮기려면 문장 전량 재작성. 허용 수정 6종(M1·M2·M4·M5) 어디에도 들어가지 않아 M6 신규로 대체.
VC-W3-P2,part-02.html,19,싱글 · 서브 · 멀티 에이전트,PART 2 간지,파트간지,고정슬라이드,본편,3차시,part-02,12,M4,"[본문] 전: PART 제목 「싱글 · 서브 · 멀티 에이전트」 → 후: 「중복 · 결측 · 이상값」. 부제(.pd-sub) 전: 「AI를 쓰는 방식은 하나가 아닙니다.」 → 후: 「깨끗해 보이는 표에도 셋이 숨어 있습니다.」 — attempt-03 등재(조립 때 옛 소재를 걷어 내며 바꿨으나 이 칸에 없던 변경 · 내용 유지). 도형·도트·PART n/N은 shell의 hydratePartDivider()가 채우는 빈 훅이라 손대지 않는다. [SVG/접근성] .dv-hero SVG는 빈 훅(<text> 0건 · aria-hidden) · aria-label 0건 — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 3 중 1 유지 = 33%(부제 교체 반영) — 구조 슬라이드(간지) 예외.",없음,0.3,파트 간지 — 새 PART 2로 재지정(M4).
VC-W3-M2,part-02.html,20,PART 2는 이렇게 배웁니다,PART 2 로드맵 5스텝,파트로드맵,flow,본편,3차시,part-02,13,M4,"[본문] 전: rm-lead 「같은 일을 맡기는 방식이 셋 있습니다 — 언제 나누는 게 이득인지까지 봅니다.」 · 5단계 「깨끗해 보이는 표에 숨은 것이 셋 있습니다 — 어떻게 세는지까지 봅니다.」 → 후: rm-lead 「왜 나누나 / 에이전트의 세 가지 방식 / 셋은 어떻게 다른가 / 오케스트레이터 / 나누면 무조건 좋을까」 · 5단계 「셋에 이름 붙이기 / 「열이 있다」와 「값이 맞다」 / 중복 세기 / 결측과 이상값 / 실습② 품질 진단 요청」. 각 단계의 desc 한 줄과 rm-out(산출물 라벨)도 같은 규칙으로 새 PART 구성에 맞춰 교체하며, .rm-track.is-5 골격 · 번호 1~5 · 화살표 4개는 불변. [SVG/접근성] <text> 0건 · aria-label 0건(로드맵이 div 트랙) — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 23 중 2 유지 = 9% — 구조 슬라이드(로드맵) 예외.",없음,0.7,구조 안내 슬라이드 — 새 PART 2 내용으로 재지정(M4).
VC-W3-V2-01,part-02.html,21,왜 나눠서 시킬까요,자기가 방금 만든 것은 자기 눈에 안 보인다 — 그래서 나눈다,개념,contrast,본편,3차시,part-06,49,M4,"[본문] 전: 우측 h3 「담당을 나누면」 → 후: 「일을 나누면」. 제목 「왜 나눠서 시킬까요」 · s-lead 「회사도 기획 · 디자인 · 개발 · 검수를 한 사람이 다 하지 않습니다」 · 「느리고, 놓치는 게 생깁니다」 · 「특히 자기가 방금 만든 것은 자기 눈에 안 보입니다」 · 「각자 자기 구역만 봅니다」 · 「보는 범위가 좁아지면 더 깊이 보입니다」는 원문 그대로. [SVG/접근성] <text> 12건 전: 좌 「1」 · 「HTML」 · 「CSS」 · 「JS」 · 「여기서 샌다」 / 우 「A」 · 「HTML」 · 「B」 · 「CSS」 · 「C」 · 「JS」 · 「끝까지 본다」 → 후: 파일명 6건(좌 3 · 우 3)만 「정리」 · 「계산」 · 「대조」로 교체하고 「1」 · 「A」 · 「B」 · 「C」 · 「여기서 샌다」 · 「끝까지 본다」 6건은 원문 그대로 — circle · rect · path 좌표와 opacity .45(놓친 칸) 처리 전부 불변. aria-label 2건 전: 「눈 하나가 네 파일을 한꺼번에 보고, 그중 둘을 놓친 그림」/「담당 셋이 각자 자기 파일 하나씩만 보는 그림」 → 후: 「하나가 세 가지 일을 한꺼번에 보고, 그중 하나를 놓친 그림」/「셋이 각자 자기 일 하나씩만 보는 그림」. [생존] 텍스트 단위 23 중 14 유지 = 61%.",없음,1.0,3차시 「제작자 · 검토자 분리」의 도입부. 「자기가 방금 만든 것은 자기 눈에 안 보인다」가 그대로 살아 V4-09와 짝을 이룬다. 생존율 실측은 변경내용 [생존] 항 참조.
VC-W3-V2-02,part-02.html,22,싱글 에이전트,하나의 에이전트가 계획·실행·보고를 혼자 다 하는 방식,개념정의,concept,부록,3차시,부록,A2,없음,원본 그대로 수록,3차시 개념 목록에 싱글/서브/멀티 구분이 없다. 역할 분리의 배경 개념으로만 남긴다. 수록 여부 D-08.,0,도구 특정 문구가 없어 그대로 복사 가능하나 본편 시간표에 자리가 없다.
VC-W3-V2-03,part-02.html,23,서브에이전트,메인이 작업 하나를 떼어 맡기고 통제권은 계속 쥔다,개념정의,concept,부록,3차시,부록,A3,없음,원본 그대로 수록,V2-02와 같은 사유. 수록 여부 D-08.,0,배경 개념 — 본편 시간표에 자리가 없다.
VC-W3-V2-04,part-02.html,24,멀티에이전트,"여러 역할이 각자 구역을 보고, 모아서 사람이 판정한다",개념정의,concept,부록,3차시,부록,A4,없음,원본 그대로 수록,「여러 결과가 돌아오고 그걸 모아 사람이 판정합니다」는 3차시 대조 판정과 통한다 — 본편 승격 검토 대상(D-08).,0,메시지 일부가 3차시와 통하지만 「멀티에이전트」 용어 자체가 새 커리큘럼에 없어 본편에 두지 않았다.
VC-W3-V2-05,part-02.html,25,셋을 나란히 보면,싱글·서브·멀티의 통제권·장면·적합 비교표,비교,comparison,부록,3차시,부록,A5,없음,원본 그대로 수록,V2-02와 같은 사유. 수록 여부 D-08.,0,배경 개념 비교표 — 본편 시간표에 자리가 없다.
VC-W3-V2-06,part-02.html,26,오케스트레이터,전체 순서와 역할표를 아는 지휘자는 사람이다,개념정의,structure,부록,3차시,부록,A6,없음,원본 그대로 수록,「오늘 그 자리는 여러분입니다」가 3차시 「사람이 결정한다」와 통한다 — 본편 승격 검토 대상(D-08).,0,배경 개념 — 본편 시간표에 자리가 없다.
