원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W1x-A01,part-01.html,11,AI는 오늘 처음 만나는 것이 아닙니다,이미 쓰고 있는 AI 6가지로 거리감을 줄인다,친숙화·정서 진입,6칸 카드 격자,본편,1차시,part-01,2,없음,그대로 복사,6칸 카드(번역기·사진 보정·영상 추천·스팸 차단·길 안내·맞춤법) 전부 유지,1.2,커리큘럼 1차시 개념 «생성형 AI와 LLM»의 진입 슬라이드 · 도구 비종속
VC-W1x-06,part-01.html,12,도구의 역할 — 생성형 AI·LLM에서 코딩 에이전트로,대화 안에서 답하는 AI와 작업공간에서 파일을 고치는 AI는 다르다,핵심 개념(1/2),2블록 흐름도,본편,1차시,part-01,3,없음,그대로 복사,«대화 안에서»↔«작업공간에서» 대비축·화살표 커넥터 유지,1.5,커리큘럼 1차시 개념 «일반 AI Chat과 AI Agent» 직결 · 원문01 L52~56
VC-W1x-07,part-01.html,13,서로 다른 역할 — LLM과 에이전트는 맡는 일이 다릅니다,LLM은 다음 표현을 예측하고 에이전트는 계획하고 도구를 쓴다,핵심 개념(2/2),이미지+2열 대비,본편,1차시,part-01,4,없음,그대로 복사,«허용된 권한과 폴더 범위 안에서만 움직인다»·«AI가 작성해도 최종 결정은 사람에게 있습니다» 두 문장 반드시 유지,1.8,커리큘럼 1차시 개념 «Coding Agent의 파일·도구·실행» · 브리프 §3 핵심 메시지
VC-W1x-08,part-01.html,14,용어의 출발 → 이 수업에서의 사용,바이브 코딩과 에이전틱 코딩은 이름만 다르고 흐름은 같다,용어 정리·오해 차단,2열 연표+흐름 배지,본편,1차시,part-01,5,M1,«이 수업에서의 사용»→«이 과정에서의 사용» / 하단 정리문 «사람이 목적과 조건을 정하고 → 에이전트가 파일을 작업하고 → 사람이 결과를 확인하는 같은 흐름으로 사용합니다»는 그대로,Karpathy 2025.02 출처 표기·«요청→실행→확인→수정» 흐름 배지 유지,1.2,과정명 변경에 따른 표기 정합 · 출처 있는 사실은 불변
VC-W1x-09,part-01.html,15,어디에 쓰는 도구인가? — Chat·Work·Codex의 주된 역할,도구마다 주된 역할이 다르다,도구 지형도·수업 도구 선언,이미지+3열 카드,본편,1차시,part-01,7,M2,"부제 «Chat·Work·Codex의 주된 역할»→«대표 AI 서비스의 용도별 차이» / 3열 카드 전면 교체 후 4열로: «CHAT/대화와 아이디어»→«ChatGPT/일반적인 대화와 아이디어 정리» · «WORK/여러 단계의 결과물»→«Claude/긴 문서 분석» · «CODEX/내 컴퓨터의 파일 작업»→«Gemini/문서·이미지·파일 활용» · 신설 «Perplexity/검색 기반 정보 탐색» / 하단 «이 강의는 Codex를 사용합니다. 계정·배포 상태에 따라 화면 구성은 다를 수 있습니다»→«이 과정은 Google Antigravity를 사용합니다. 계정·배포 상태에 따라 화면 구성은 다를 수 있습니다» / aria/alt: alt «말풍선, 작업 트레이, 코드 제작 도구가 나란히 있어 대화·작업 정리·파일 작업의 서로 다른 역할을 보여 준다»→3열을 4열로 바꾸면 «네 가지 대표 AI 서비스의 용도 차이»로 다시 쓴다(D-06 종속)",«특정 서비스를 절대적으로 우수하다고 평가하기보다 용도에 따라 적합한 도구가 달라진다»는 유보를 반드시 넣을 것(원문01 L92) · 3열→4열 변경 시 s09 paper-cut 이미지 재배치 필요 — 결정요청 D-06,1.8,커리큘럼 1차시 개념 «대표 AI 서비스의 용도별 차이» · 원문01 L73~92 · 브리프 §4 M2
VC-W1x-T01,part-01.html,16,AI가 글을 다루는 단위 — AI는 글을 토큰으로 쪼개서 읽습니다,토큰 1개 = 단어 1개가 아니다,LLM 기초 보조,분해 도해,부록,1차시,부록,A1,없음,부록 이동 — 커리큘럼_기준안 1차시 개념 목록에 토큰이 없다. 앞 블록 45분 예산에 들어가지 않아 부록으로 돌린다. 2차시 Context 개념에서 다시 쓸 수 있으므로 삭제하지 않는다,«토큰 1개 = 단어 1개가 아닙니다»·«요청이 길어질수록 토큰도 늘어납니다» 두 문장 보존 — 2차시 Lost in the Middle의 선행 개념,0,커리큘럼_기준안 1차시 개념 목록에 없음 + 45분 예산 초과 · 삭제가 아니라 부록 보존
VC-W1x-T02,part-01.html,17,추론 강도는 생각의 깊이를 정하는 다이얼입니다,추론 강도를 올리면 품질은 오르고 시간·토큰도 는다,도구 심화 설정,2계열 다이얼 차트,제외,없음,없음,없음,M3,제외 — «GPT-5.6 Sol / GPT-5.6 Terra» 모델명과 «데스크톱 앱 입력창 아래 모델·추론 조절 메뉴»가 특정 도구 전용이다. Google Antigravity에 대응 기능이 있는지 원문 2파일에 근거가 없고 웹 리서치는 금지되어 있다,«더 꼼꼼하게 확인 / 조금 더 기다리기» 트레이드오프 메시지는 1차시 커리큘럼 개념 목록에 없어 유실 허용 · 원본 발표자노트에도 «메뉴 위치는 아직 문서로만 확인한 상태[미확인]»로 기록되어 있음,0,브리프 §4 M3(제외 주제·중복 제거) · 커리큘럼_기준안 차시별 개념 배정
VC-W1x-S10A,part-01.html,18,화면의 종류 — 브라우저에서 여는 것과 기기에 설치한 앱,웹 기반은 주소만 알면 설치 없이 들어간다,기술 배경 보조,이미지 2열 대비,부록,1차시,부록,A2,없음,"부록 이동 — 1차시 개념 목록에 없고, 타자 게임이 웹 기반이라는 사실은 S10D·S39가 실물로 보여 준다. 앞 블록 45분 예산 초과로 부록",«웹 기반 — 브라우저에서 바로 엽니다» 정의 보존 — 3차시 «정적 HTML 배포 소개»의 선행 개념,0,커리큘럼_기준안 1차시 개념 목록에 없음 + 45분 예산 초과 · 삭제가 아니라 부록 보존
VC-W1x-S10B,part-01.html,19,웹서비스 제작 과정 — 일곱 단계를 돌며 완성됩니다,웹 결과물이 만들어지는 전체 그림을 한 번에 본다,전체 조망(축약),이미지+7단계 인포그래픽,본편,1차시,part-01,10,M3+M5,7단계 유지하되 «4 백엔드»·«6 배포» 카드에 «이 과정에서는 다루지 않습니다(배포는 3차시 소개)» 회색 배지 추가 / W01·W02·W03·W05 4장의 비유(여행 계획·플레이팅·손님 앞에 내어놓기·주방·창고·거울 앞 점검·매장에 내걸기)를 이 장의 7단계 설명문에 한 줄씩 흡수,7단계 이름·순서·인포그래픽 SVG 유지 · 흡수되는 W계열 4장의 «비유» 한 줄이 실제로 들어갔는지 조립 후 확인,1.2,브리프 §4 M3(백엔드·DB 제외는 소개 1장 축약) + M5(W계열 4장 통합)
VC-W1x-W01,part-01.html,20,기획 & 디자인 — 무엇을 만들지 정하고 어떻게 보일지 그립니다,"기획은 여행 계획, 디자인은 플레이팅",제작 과정 상세(1/4),이미지+2필드 비유,통합,1차시,part-01,10(S10B에 흡수),M5,«기획 / 여행 전 어디로 갈지 정하는 여행 계획»·«디자인 / 요리를 어떤 그릇에 담을지 정하는 플레이팅» 두 비유를 S10B의 «1 기획»·«2 디자인» 설명문에 한 줄씩 흡수,흡수되는 비유 한 줄이 S10B 설명문에 실제로 들어갔는지 조립 후 확인,0,브리프 §4 M5(같은 메시지 여러 장 → 1장) · 1차시 커리큘럼에 제작 7단계 상세 없음
VC-W1x-W02,part-01.html,21,프론트엔드 — 사람이 보고 누르는 화면을 만듭니다,완성한 요리를 손님 앞에 내어놓는 것,제작 과정 상세(2/4),이미지+1필드 비유,통합,1차시,part-01,10(S10B에 흡수),M5,«완성한 요리를 손님 앞에 그대로 내어놓는 것» 비유를 S10B «3 프론트엔드» 설명문에 흡수 · 상세 개념은 S10C가 이미 담당,흡수되는 비유 한 줄이 S10B 설명문에 실제로 들어갔는지 조립 후 확인,0,브리프 §4 M5(같은 메시지 여러 장 → 1장) · 1차시 커리큘럼에 제작 7단계 상세 없음
VC-W1x-W03,part-01.html,22,백엔드 & 데이터 — 보이지 않는 곳에서 저장하고 처리합니다,"백엔드는 주방, 데이터는 창고",제작 과정 상세(3/4),이미지+2필드 비유,통합,1차시,part-01,10(S10B에 흡수),M5,«주방»·«창고» 비유를 S10B «4 백엔드» 설명문에 흡수하고 «이 과정에서는 다루지 않습니다» 배지 추가 · 브리프 §4 M3 제외 주제(복잡한 백엔드·DB),흡수되는 비유 한 줄이 S10B 설명문에 실제로 들어갔는지 조립 후 확인,0,브리프 §4 M5(같은 메시지 여러 장 → 1장) · 1차시 커리큘럼에 제작 7단계 상세 없음
VC-W1x-W05,part-01.html,23,"확인 & 공개 — 제대로 되는지 보고, 내보내고, 더 낫게 만듭니다","QA는 거울 앞 점검, 배포는 매장에 내걸기",제작 과정 상세(4/4),이미지+3필드 비유,통합,1차시,part-01,10(S10B에 흡수),M5,«거울 앞 매무새 점검» 비유를 S10B «5 QA» 설명문에 1줄 흡수 · «요리를 매장에 내걸어 손님이 보게 하는 것» 비유를 «6 배포» 설명문에 1줄 흡수하고 «배포는 3차시 마지막 시연» 배지 추가,흡수되는 비유 한 줄이 S10B 설명문에 실제로 들어갔는지 조립 후 확인,0,브리프 §4 M5(같은 메시지 여러 장 → 1장) · 1차시 커리큘럼에 제작 7단계 상세 없음
VC-W1x-S10C,part-01.html,24,브라우저에 보이는 화면 — 이번 주에는 프론트엔드를 배웁니다,"HTML은 구조, CSS는 꾸밈, JavaScript는 반응",기술 3요소 개념,이미지 3열 카드,본편,1차시,part-01,8,M1,«이번 주에는 프론트엔드를 배웁니다»→«1차시에는 프론트엔드를 배웁니다» / HTML·CSS·JavaScript 3열 카드와 비유는 그대로,«비유: 집의 뼈대/옷과 인테리어/스위치» 3종과 STRUCTURE·STYLE·BEHAVIOR 배지 유지,1.5,원문01 L115~119 «HTML 파일 생성/CSS 적용/JavaScript 작성» — 타자 게임이 3요소를 모두 씀
VC-W1x-S10D,part-01.html,25,파일 이름 읽기 — index.html은 브라우저가 먼저 여는 첫 화면,"index는 대표 첫 화면, .html은 문서 형식",파일 리터러시,용어 분해 도해,본편,1차시,part-01,9,M1+M2,"«1주차에는 HTML 구조와 CSS 디자인, 필요한 JavaScript 동작을 이 한 파일 안에 함께 담습니다»→«1차시에는 HTML 구조와 CSS 디자인, 타자 게임 동작을 담당하는 JavaScript를 이 한 파일 안에 함께 담습니다»",index / .html 분해 도해와 각 조각 설명 유지,0.8,커리큘럼 1차시 실습4 «생성 파일 확인» 선행 지식 · 타자 게임은 JS가 필수
VC-W1x-11,part-01.html,26,시작 전 확인 — 준비가 되었는지 함께 확인합니다,4가지 준비 상태를 함께 점검한다,실습 진입 체크,4항목 번호 카드,실습안내,1차시,part-03,2,M1+M2,«03 데스크톱 앱 / 수업에서 쓸 앱을 준비합니다»→«03 Google Antigravity / 설치 파일을 내려받을 수 있는지 확인합니다» / «04 자기소개 재료 / 이름·소개·관심사 2~3개를 메모합니다»→«04 타자 게임 재료 / 게임에 띄울 단어 5~10개를 메모합니다» / 킥커(s-team) «PART 1<br>준비»→«PART 3<br>준비» / aria/alt: alt «사람과 AI가 연결·계정·앱·자기소개 재료를 뜻하는 준비 항목을 함께 확인한다»→«…연결·계정·앱·타자 게임 재료(단어 목록)를 뜻하는 준비 항목을 함께 확인한다»,«01 인터넷»·«02 개인 계정» 항목은 그대로 · 번호 4칸 카드 구조 유지,0.8,커리큘럼 1차시 실습1 «Google Antigravity 설치·로그인»
VC-W1x-12,part-01.html,27,시작 위치 확인 — 데스크톱 앱에서 Codex 열기,로그인 상태와 현재 작업 폴더가 함께 보이면 준비 완료,실습 단계(진입),앱 UI 목업+3항목,실습안내,1차시,part-03,4,M1+M2,"제목 «데스크톱 앱에서 Codex 열기»→«Google Antigravity 첫 화면 확인하기» / UI 목업 «Codex Desktop»→«Google Antigravity», «Codex에게 작업을 요청하세요»→«Agent에게 작업을 요청하세요», «WORKSPACE / 현재 폴더를 여세요»→«프로젝트 폴더를 여세요» / «02 Codex 이름과 진입 위치 확인 / Codex 화면과 현재 작업공간 영역을 함께 찾습니다»→«02 이름과 진입 위치 확인 / Antigravity 화면과 현재 프로젝트 폴더 영역을 함께 찾습니다» / 하단 «화면이 예시와 달라도 Codex와 현재 폴더가 함께 보이면 됩니다»→«화면이 예시와 달라도 Antigravity와 현재 폴더가 함께 보이면 됩니다» / 킥커(s-team) «PART 1<br>진입»→«PART 3<br>진입» / aria/alt: aria-label «Codex 데스크톱 앱 시작 화면 예시»→«Google Antigravity 시작 화면 예시»",«화면이 예시와 달라도 …가 함께 보이면 됩니다» 유보 문장이 이 슬라이드의 핵심 — 반드시 유지 · UI 목업은 실제 Antigravity 화면이 아니므로 «예시 화면» 표기 필요 — 결정요청 D-02,1.2,브리프 §4 M2 · 원문에 Antigravity UI 명칭 없음 → 일반 표현 사용
VC-W1x-P2,part-02.html,28,PART 2 · 안전한 연습 공간 만들기,안전한 연습 공간을 만들고 작업 범위를 확인한다,파트 구분자,파트 디바이더,본편,1차시,part-03,1,M1+M2,"제목 «안전한 연습 공간 만들기»→«안전한 작업 환경» / 부제 «안전한 연습 공간을 만들고, Codex가 작업할 범위를 확인합니다»→«안전한 작업 공간을 만들고, Agent가 작업할 범위를 확인합니다»",part-divider 클래스 유지,0.4,브리프 §4 M2(도구 고유 명칭 제거)
VC-W1x-17,part-02.html,29,세 단어를 구분하기 — 작업공간 안에 폴더와 파일이 있습니다,폴더가 범위를 정하고 그 안의 파일이 작업 대상이 된다,용어 정리(실습 선행),이미지+3단 포함 관계,본편,1차시,part-03,5,M1+M2,«작업공간 / Codex가 지금 다루는 범위»→«작업공간 / Agent가 지금 다루는 범위» / 킥커(s-team) «PART 2<br>작업 범위»→«PART 3<br>작업 범위»,«폴더가 범위를 정하고 그 안의 파일이 작업 대상이 됩니다» 결론 문장 유지,0.8,브리프 §4 M2 · 커리큘럼 1차시 개념 «Coding Agent의 파일·도구·실행»
VC-W1x-14,part-02.html,30,파일 탐색기에서 시작 — 내 PC에서 로컬 디스크 C:를 엽니다,문서·다운로드가 아니라 C:를 직접 연다,실습 단계(폴더 1/4),실제 캡처(OS),실습안내,1차시,part-03,6,M1,킥커 1행 외에는 그대로 복사 — 캡처 win02_c-drive-open.png는 Windows 탐색기 화면이라 도구 비종속(본체 현행 캡처 5개에 포함된 같은 파일명) / 킥커(s-team) «PART 2<br>환경 준비»→«PART 3<br>환경 준비»,«확인 기준 · 왼쪽 탐색창과 주소 표시줄 모두에 C:가 보입니다» 확인 기준 문장 유지,0.7,브리프 G11 «캡처는 본체 5개 현행» — win02_c-drive-open.png는 양쪽 공통
VC-W1x-15,part-02.html,31,오늘의 기준 폴더 — C:\VibeCoding을 만듭니다,모든 폴더를 한곳에 모아 다시 찾기 쉽게 한다,실습 단계(폴더 2/4),경로 브레드크럼,실습안내,1차시,part-03,7,M1,킥커 1행 외에는 그대로 복사(폴더명 C:\VibeCoding 유지 — 브랜드 워드마크가 VIBECODING이므로 정합) / 킥커(s-team) «PART 2<br>환경 준비»→«PART 3<br>환경 준비»,«확인 기준 · 현재 위치가 C:\VibeCoding입니다» 유지 · 폴더명을 바꾸면 15·20·S34·S36·S54·S58 6장이 연동 변경됨 — 결정요청 D-03,0.7,슬라이드지침 «브랜드 VIBECODING» · 도구명이 아니므로 M2 대상 아님
VC-W1x-20,part-02.html,32,실제 프로젝트와 분리 — codex_practice 폴더를 만듭니다,연습 공간을 실제 프로젝트와 분리한다,실습 단계(폴더 3/4),실제 캡처+3점검,실습안내,1차시,part-03,8,M1+M2,«codex_practice»→«agent_practice»(제목·경로 C:\VibeCoding\codex_practice→C:\VibeCoding\agent_practice·본문 3곳) / 점검 문항 «Codex 화면에 같은 폴더가 보이는가?»→«Antigravity 화면에 같은 폴더가 보이는가?» / 캡처 screenshot/20-01.png는 폴더명이 화면에 보이므로 제거하고 «강사 시연 화면 — 새 폴더 만들기» 자리표시(텍스트)로 교체 / 킥커(s-team) «PART 2<br>연습 공간»→«PART 3<br>연습 공간» / aria/alt: alt «Codex 화면에서 현재 폴더 이름과 요청 입력 영역이 함께 보여 codex_practice 작업공간의 위치를 확인하게 한다»→캡처와 함께 삭제(자리표시는 텍스트이므로 alt 없음),3점검 문항(이름 정확·주소 VibeCoding 안·화면에 보임) 구조 유지,0.8,브리프 §4 M2(도구 특정 캡처는 자리표시로) · 폴더명에 도구명 codex 포함
VC-W1x-21,part-02.html,33,기존 폴더를 선택 — codex_practice 폴더를 작업공간으로 엽니다,최근 목록이 아니라 경로를 따라 직접 연다,실습 단계(폴더 4/4),실제 캡처+경로,실습안내,1차시,part-03,9,M1+M2,«codex_practice»→«agent_practice» / «메뉴에서 기존 폴더 열기를 선택합니다»→«메뉴에서 폴더 열기를 선택합니다»(Antigravity 실제 메뉴명 미확인이므로 일반 표현) / 캡처 screenshot/codex_existing-folder-menu.png는 Codex 메뉴 화면이므로 제거하고 «강사 시연 화면 — 폴더 열기 메뉴» 자리표시로 교체 / 킥커(s-team) «PART 2<br>작업공간 열기»→«PART 3<br>작업공간 열기» / aria/alt: alt «Codex의 기존 폴더 열기 메뉴가 보여 C:\VibeCoding\codex_practice를 작업공간으로 선택하는 위치를 안내한다»→캡처와 함께 삭제 / aria-label «목표 작업공간 경로»는 그대로,«최근 목록의 비슷한 이름을 고르지 말고 경로를 따라 직접 엽니다»·«목표 경로와 현재 작업공간이 같을 때만 다음 단계로 갑니다» 두 문장 유지 — 결정요청 D-02,1.0,브리프 §4 M2 · Antigravity 메뉴명 미확인
VC-W1x-23,part-02.html,34,공개 가능한 재료로 연습 — 자기소개.txt를 요청합니다,공개 가능한 내용만 넣어 첫 파일을 요청한다,실습 단계(첫 요청 연습),실제 캡처+3필드,실습안내,1차시,part-03,10,M1+M2,«자기소개.txt»→«연습.txt» / 넣을 내용 «활동명·한 줄 소개·관심사»→«타자 게임에 띄울 단어 5~10개» / 저장 위치 «C:\VibeCoding\codex_practice»→«C:\VibeCoding\agent_practice» / 캡처 screenshot/codex_file-menu.png 제거 → «강사 시연 화면 — 파일 생성 결과» 자리표시로 교체 / 킥커(s-team) «PART 2<br>파일 연습»→«PART 3<br>파일 연습» / aria/alt: alt «Codex의 파일 관련 메뉴가 열려 자기소개 파일을 만들 요청 위치를 보여 준다»→캡처와 함께 삭제,«공개 가능한 내용만 넣어» 조건과 «이름·내용·위치가 요청대로인지 직접 확인합니다» 문장 유지,1.0,브리프 §4 M2 · 개인정보 최소화 원칙(S3PRV와 연동)
VC-W1x-24,part-02.html,35,완료 보고보다 실제 결과 — 파일을 열어 직접 검증합니다,Agent의 완료 보고가 아니라 실제 파일을 기준으로 확인한다,강제 메시지(완료≠완료),실제 캡처+4점검,실습안내,1차시,part-03,11,M1+M2,«자기소개.txt가 실제로 보이는가?»→«연습.txt가 실제로 보이는가?» / «활동명·소개·관심사가 요청과 같은가?»→«단어 목록이 요청과 같은가?» / 위치 «C:\VibeCoding\codex_practice»→«C:\VibeCoding\agent_practice» / «Codex의 완료 보고가 아니라 실제 파일을 기준으로 확인합니다»→«Agent의 완료 보고가 아니라 실제 파일을 기준으로 확인합니다» / 캡처 screenshot/21-01.png 제거 → 자리표시로 교체 / 킥커(s-team) «PART 2<br>실제 파일 확인»→«PART 3<br>실제 파일 확인» / aria/alt: alt «파일 탐색기 목록에 생성된 자기소개 재료 파일이 보여 위치·이름·존재를 실제 파일로 확인하게 한다»→캡처와 함께 삭제,위치·존재·내용·유지 4점검 구조는 이 과정의 검증 템플릿 — 반드시 유지 · 강제 메시지 2의 1차시 첫 등장 지점,1.2,슬라이드지침 강제 메시지 2 «AI의 “완료”는 완료 증거가 아니다»
VC-W1x-19,part-02.html,36,에이전트는 말이 아니라 행동합니다,권한을 다 열면 틀린 행동이 실제로 실행된다,안전 개념(권한),이미지+상황→위험→대응,본편,1차시,part-03,13,M1,킥커(s-team) «PART 2<br>권한»→«PART 3<br>권한» — 이 한 곳 외에는 그대로 복사,«모든 권한 허용과 승인 건너뛰기는 끄기»·«비밀번호·API 키·개인정보는 입력하지 않기» 두 경고 유지 — 강제 메시지 5 대응,1.6,커리큘럼 1차시 개념 «실행 권한» · 슬라이드지침 강제 메시지 5
