원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W2-C1-3,part-01.html,11,페르소나와 사용자 가설은 다릅니다,타깃→페르소나→가설로 좁힌다,개념,3단 축소도,제외,없음,없음,없음,없음,기획 주제 — 새 커리큘럼 대응 없음,없음,0,페르소나·사용자 가설은 3개 차시 개념 목록에 없음
VC-W2-C1-4,part-01.html,12,아이디어는 아직 가설입니다,AI는 내가 옳다는 쪽으로 맞장구친다(아첨 현상) · AI가 내놓은 것은 전부 가설,개념,표+이미지,발표자노트,2차시,PART1(노트),없음,M4,본문 슬라이드로 쓰지 않고 PART1 회고 슬라이드(C1-1)의 발표자 노트에 「1차시에서 다룬 할루시네이션·아첨은 오늘도 그대로 적용된다」 한 줄로 회수,「AI는 내가 옳다는 쪽으로 맞장구치기 쉽습니다」 문장 · 아첨 현상 용어,0,할루시네이션·아첨은 커리큘럼_기준안에서 1차시 개념으로 배정 — 2차시 본문 중복을 피하되 원문 01의 2차시 절에도 등장하므로 노트로 유지 · 1차시 재사용 여부는 결정요청 D-07
VC-W2-C1-N3,part-01.html,13,프롬프트를 먼저 만들고 작업을 시킵니다,"한 번뿐인 질문은 바로 시키고, 반복해서 쓸 지시는 프롬프트부터 받아 둔다",비교,비교2단,수정,2차시,PART2,13,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 2」 · 「GPT에게 일을 시키기 전에」→「AI에게 일을 시키기 전에」 · 「GPT 대화창에 바로 입력」→「Agent 대화창에 바로 입력」 · 「GPT에게 프롬프트를 써 달라고 요청」→「Agent에게 프롬프트를 써 달라고 요청」(정규식 실측 GPT 4곳 전량),"결론 문장 「한 번뿐인 질문은 바로 시키고, 반복해서 쓸 지시는 프롬프트부터 받아 둡니다」 · compare-slide 구조",2.0,이 결론이 뒤 50분 뉴스 Agent(반복 실행)로 이어지는 다리 — Prompt 절 필수 슬라이드
VC-W2-A1F1,part-01.html,14,세 번 물으면 한 문장이 됩니다,세 질문으로 주제를 한 문장까지 좁힌다,개념,3단계+결론,제외,없음,없음,없음,없음,기획 부록 — 새 커리큘럼 대응 없음,없음,0,여행 앱 기획 예시 전용 · w2-annex 부록 출신
VC-W2-C1-6,part-01.html,15,"한 줄 정의, 제작 기준 한 줄",[누가]가 [어떤 상황에서] [무엇을 하도록] 돕는 도구,개념,슬롯형+예시,제외,없음,없음,없음,없음,기획 주제 — 새 커리큘럼 대응 없음,없음,0,한 줄 정의는 3개 차시 개념 목록에 없음
VC-W2-C1-5,part-01.html,16,실습 ① 내 불편을 한 문장으로,내 불편을 한 문장으로 적는다,실습안내,실습 2단계+이미지,제외,없음,없음,없음,없음,기획 실습 — 2차시 실습은 뉴스 조사 Agent로 고정(커리큘럼_기준안 2차시 실습 7단계),없음,0,실습 슬롯이 뉴스 Agent로 대체됨
VC-W2-C1-5P,part-01.html,17,한 줄 정의를 다듬을 때 이렇게 요청합니다,역할·상황·요청·금지·확인으로 분해한 프롬프트 예시,예시프롬프트,프롬프트 카드,제외,없음,없음,없음,없음,기획 실습 프롬프트 — 대응 실습 없음 · 카드 구도(역할/상황/요청/이렇게 쓰는 이유/이 줄이 막는 것/확인할 것)는 신규 N-11·N-13이 승계,없음,0,카드 골격은 새 2차시 프롬프트 예시의 서식 기준으로 삼되 내용은 전량 신규
VC-W2-A1F3,part-01.html,18,예시: 오늘의 활동 기록 도구,정한 대상·불편·정의가 화면 어디로 오는지,개념,화면목업+주석,제외,없음,없음,없음,없음,기획 부록 — 새 커리큘럼 대응 없음,없음,0,w2-annex 부록 출신 · 기획 예시 전용
VC-W2-C1-11,part-01.html,19,실습 ② 한 줄 정의 확정 + 새 폴더,한 줄 정의를 확정하고 새 프로젝트 폴더를 만든다,실습안내,실습 2단계,제외,없음,없음,없음,없음,「새 프로젝트 폴더 만들고 열기」는 커리큘럼_기준안 1차시 실습 2번(안전한 프로젝트 폴더 생성)과 중복 · 1차시 이관 후보,없음,0,1차시 담당과 조율 필요 — 결정요청 D-07
VC-W2-C1-12,part-01.html,20,대화 세션이 끝나면 결정도 사라집니다,"LLM의 «메모리»는 열어 볼 수 없고, 폴더 안 파일은 내가 열어 고칠 수 있다",개념,비교2단+과정도,수정,2차시,PART3,18,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 3」 · 「2주차 1교시」→「2차시」(s-team 라벨) · 본문 무변경,「세션」·「컨텍스트(그 대화 안에서만 오간 맥락)」 정의 문장 · LLM의 «메모리» vs 에이전트의 «작업 폴더» 2단 비교 전문 · w2-persist 구도,3.0,커리큘럼_기준안 2차시 개념 「Context와 Memory」의 정본 — 본문 문자열 교체 없이 그대로 쓸 수 있는 최상급 보존 슬라이드
VC-W2-C1-14,part-01.html,21,일을 시키기 전에 준비하는 것,무엇을·어디에·기준·확인 네 가지를 갖추고 계획을 먼저 보여 달라고 한다,개념,과정도(3단계)+4항목,수정,2차시,PART2,10,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 2」 · 「2주차 1교시」→「2차시」 · 본문 무변경,"「무엇을 만들지 / 어디에 만들지 / 무엇을 지켜야 하는지 / 다 되면 무엇을 확인할지」 4항목 · 「계획을 먼저 보여 달라 하고, 사람이 확인한 뒤에 시작합니다」 결론 · w2-ready 구도",2.0,Prompt 5요소(목표·범위·조건·출력·완료 기준)의 초보자용 선행 슬라이드 · 원문 01의 「확인 → 계획 → 실행」과 일치
VC-W2-P2,part-02.html,22,MVP와 사용 흐름,PART 2 구획,구획,divider,수정,2차시,PART2,9,M4,"헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「MVP와 사용 흐름」→「Prompt — 무엇을, 어디까지, 무엇이 되면 끝인가」 · 부제「핵심 기능 하나만 작동하는 첫 버전(MVP)과 대표 흐름·완료 기준을 정한다」→「목표·범위·조건·출력·완료 기준을 요청에 담는다」 · 조립 결과 확인: 제목/부제 문자열이 « — » 앞뒤로 pd-title=「Prompt」/ pd-desc 1행=「무엇을, 어디까지, 무엇이 되면 끝인가」·2행=부제로 나뉘어 화면에 실렸다(문자열 전부 유지)",part-divider 구조,0.5,"divider 재사용 — 구조 불변, 문구만 M4"
VC-W2-M2,part-02.html,23,2교시 이렇게 배웁니다,2교시 4단계 로드맵,도입,과정도(4단계),통합,2차시,PART1,6,M5,M1(앞 50분 로드맵)에 흡수 — 로드맵 5장(M1·M2·M3·M4·M5)을 블록 로드맵 2장(앞 50분=M1 · 뒤 50분=M4)으로 통합,산출물 라벨 형식(「산출물 · …」)이 통합본에 살아 있어야 함,0,110분 세션에 교시 로드맵 5장은 과다 — 앞·뒤 블록 각 1장으로 M5 통합
VC-W2-C2-1,part-02.html,24,기능을 다 만들어도 불편이 그대로일 수 있습니다,"기능은 앱이 하는 일, 결과는 해결된 불편",개념,비교2단+이미지,제외,없음,없음,없음,없음,MVP 주제 — 새 커리큘럼 대응 없음,없음,0,기능·결과 구분은 3개 차시 개념 목록에 없음
VC-W2-C2-2,part-02.html,25,MVP는 대충 만든 게 아닙니다,가설 확인을 위해 범위를 줄인 첫 작동 버전,개념,정의카드,제외,없음,없음,없음,없음,MVP 주제 — 새 커리큘럼 대응 없음,없음,0,MVP는 3개 차시 개념 목록에 없음
VC-W2-C2-N1,part-02.html,26,MVP (Minimum Viable Product),부품이 아니라 매 단계 쓸 수 있는 형태로,개념,이미지+해설,제외,없음,없음,없음,없음,MVP 주제 — 새 커리큘럼 대응 없음,없음,0,스케이트보드→자동차 비유는 MVP 전용
VC-W2-C2-3,part-02.html,27,먼저 보여줄 결과 하나,사용자가 끝나고 무엇을 보게 할지부터 정한다,개념,화면목업+3단계,제외,없음,없음,없음,없음,MVP 주제 — 새 커리큘럼 대응 없음,없음,0,입력·실행·결과 화면 예시는 기획 실습 전용
VC-W2-C2-4,part-02.html,28,핵심 기능과 부가 기능,없으면 가치가 사라지는 것 1개,개념,2열 카드,제외,없음,없음,없음,없음,MVP 주제 — 새 커리큘럼 대응 없음,없음,0,기능 우선순위는 3개 차시 개념 목록에 없음
VC-W2-C2-5,part-02.html,29,범위는 세 칸,이번에 만들 것 / 안 만들 것 / 나중 아이디어,개념,3칸 카드,제외,없음,없음,없음,없음,MVP 범위 주제 — w2-scope 3칸 구도는 신규 N-14(뉴스 선정 기준과 제외 기준)가 승계,없음,0,3칸 구도는 뉴스 Agent의 「조사 대상 / 제외할 정보 / 판단 보류」에 맞으나 예시 문구가 전량 기능 목록이라 문구 전면 교체 필요 — 허용 수정 6종 밖
VC-W2-C2-6,part-02.html,30,실습 ③ AI가 제안한 기능 하나만 남기기,기능 후보에서 핵심 1개만 남긴다,실습안내,실습 2단계+이미지,제외,없음,없음,없음,없음,MVP 실습 — 2차시 실습은 뉴스 조사 Agent로 고정,없음,0,실습 슬롯 대체
VC-W2-C2-6P,part-02.html,31,기능 후보를 뽑고 하나를 고를 때 이렇게 요청합니다,역할·상황·요청·금지로 분해한 프롬프트 예시,예시프롬프트,프롬프트 카드,제외,없음,없음,없음,없음,MVP 실습 프롬프트 — 대응 실습 없음,없음,0,실습 슬롯 대체
VC-W2-C2-7,part-02.html,32,User Flow란?,목표 하나를 끝낼 때까지 거치는 화면과 행동의 순서,개념,정의+화면3컷,제외,없음,없음,없음,없음,사용자 흐름 주제 — 새 커리큘럼 대응 없음(2차시 Graph는 Agent 작업 연결이지 사용자 흐름이 아님),없음,0,용어가 비슷해 보이나 대상이 달라 오대응 위험이 큼 — 제외
VC-W2-C2-8,part-02.html,33,흐름 3단계 — 입력 → 실행 → 결과,세 화면을 전부 눈으로 확인할 수 있어야 완성,개념,화면3컷+경고2,제외,없음,없음,없음,없음,사용자 흐름 주제 — 새 커리큘럼 대응 없음,없음,0,Loop(실행→확인→수정→재실행)는 C4-16이 담당 — 중복 회피 · 2026-09-11 C4-16 삭제로 Loop는 C4-2 한 줄이 담당
VC-W2-C2-N3,part-02.html,34,왜 3~5단계인가,단계를 몇 개로 나누든 골격은 입력·실행·결과,개념,과정도+표,제외,없음,없음,없음,없음,사용자 흐름 주제 — 새 커리큘럼 대응 없음,없음,0,흐름 단계 수 설계는 3개 차시 개념 목록에 없음
VC-W2-C2-9,part-02.html,35,잘못된 입력도 흐름의 일부,빈칸·엉뚱한 값·중복 클릭도 미리 다룬다(예외 처리),개념,표(4행3열),제외,없음,없음,없음,없음,3차시로 이관 후보 — 3차시 개념 「중복 · 결측 · 이상값」의 사용자 화면판 대응,없음,0,2차시 대응 없음 · 3차시 담당에게 넘길 후보로 등재
VC-W2-C2-10,part-02.html,36,완료 기준과 테스트,"완료 기준은 미리 적은 문장, 테스트는 그 장면이 나오는지 직접 해 보는 행동 · 안 되면 기준을 고치는 게 아니라 미완료로 본다",개념,비교2단(표)+이미지,수정,2차시,PART2,14,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 2」 · 「2주차 2교시」→「2차시」 · 본문 무변경(예시 「버튼을 누르면 목록에 그 줄이 보인다」는 1차시 웹·뉴스 저장 양쪽에 그대로 성립),「안 되면 기준을 고치는 게 아니라 미완료로 보고 원인을 다시 찾습니다」 결론 문장 전문 · compare-slide 표 구조,1.5,커리큘럼 Prompt의 「완료 기준」과 강제 메시지 「AI의 완료는 완료 증거가 아니다」를 한 장에 담고 있음 — 문자열 교체 없이 보존
VC-W2-C2-11,part-02.html,37,실습 ④ 내 흐름 3~5단계 + 완료 기준,대표 흐름과 완료 기준을 적는다,실습안내,실습 2단계+이미지,제외,없음,없음,없음,없음,MVP 실습 — 2차시 실습은 뉴스 조사 Agent로 고정,없음,0,실습 슬롯 대체
VC-W2-C2-11P,part-02.html,38,흐름과 완료 기준을 정리할 때 이렇게 요청합니다,흐름·완료 기준 프롬프트 예시,예시프롬프트,프롬프트 카드,제외,없음,없음,없음,없음,MVP 실습 프롬프트 — 대응 실습 없음,없음,0,실습 슬롯 대체
VC-W2-P3,part-03.html,39,기획 문서와 첫 작동,PART 3 구획,구획,divider,수정,2차시,PART4,22,M4,"헤더 s-team 없음(divider·표지류 원본 구조 유지 · 라벨 주입 안 함) · 제목「기획 문서와 첫 작동」→「Markdown으로 기준을 파일에」 · 부제「prd.md와 세 파일로 버튼이 반응하는 첫 화면을 만든다」→「대화에 흘리지 않고, AI가 매번 읽을 기준 파일로 남긴다」",part-divider 구조,0.5,"divider 재사용 — 구조 불변, 문구만 M4"
VC-W2-M3,part-03.html,40,3교시 이렇게 배웁니다,3교시 3단계 로드맵,도입,과정도(3단계),통합,2차시,PART1,6,M5,M1(앞 50분 로드맵)에 흡수 — 로드맵 5장을 블록 로드맵 2장으로 통합,「3교시에서 처음 만나는 것은 마크다운」처럼 신규 개념을 예고하는 형식,0,로드맵 통합 정책(M2와 동일)
VC-W2-C3-1,part-03.html,41,Markdown은 메모에 구조를 붙입니다,약속된 기호로 문서 구조를 표시하는 가벼운 문서 형식 · 기호 10개와 미리보기,개념,표(기호10)+미리보기,수정,2차시,PART4,23,M2,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 4」 · Markdown 미리보기의 도구명 2곳 교체 — 코드 열 「[Codex 사용법](notes/codex.md)」→「[Antigravity 사용법](notes/antigravity.md)」(part-03.html:499) · 렌더 열 링크 텍스트 「Codex 사용법」→「Antigravity 사용법」(part-03.html:515) · 기호 10개 표와 나머지 미리보기 본문은 무변경(일반 기획 메모라 그대로 성립) · 조립 유의 — 링크 문자열이 길어지므로 미리보기 줄바꿈을 브라우저에서 확인한다,기호 10개 표 전문 · 미리보기 2단 구조,2.5,커리큘럼_기준안 2차시 개념 「Markdown 기반 기준 관리」의 정본 — 새 과정 도구 목록에도 Markdown이 있음 · attempt-01에서 이 2곳이 M2 목록에 누락돼 있었다(독립 검토 R-MAP2 치명 1) — 화면에 렌더되는 문자열이라 남기면 옛 도구명이 그대로 보인다
VC-W2-C1-13,part-03.html,42,어떤 문서가 무엇을 책임지나,세 문서는 각각 다른 질문에 답한다(prd.md 무엇을 / design.md 어떻게 보이나 / AGENTS.md 어떻게 일하나),개념,3열 책임표,수정,2차시,PART4,24,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 4」 · 「2주차 3교시」→「2차시」 · 본문 무변경 · 2026-09-11 사용자 결정(계획 §2-4 · M4 동반): AGENTS.md 칸에 «PART 5에서 직접 만듭니다» 한 줄 추가(앞에 이름만 나오는 혼동 완화) — 위 «본문 무변경»은 이 한 줄만큼 대체,세 문서의 질문 대응(이 앱은 무엇을 하나요 / 버튼은 무슨 색인가요 / 저장은 어디에 하나요) · w2-owner 구도,2.0,뒤 50분 「기존 웹에 기준 적용」에서 실제로 쓸 세 문서의 역할 지도 — 문구 교체 없이 성립
VC-W2-C3-2,part-03.html,43,PRD와 prd.md 핵심 구분,조직 기획서 PRD와 AI가 읽는 prd.md의 차이,비교,비교2단+이미지,수정,2차시,PART4,25,M2,부활(2026-09-11 사용자 결정 U1 — prd.md 복원 · plans/2차시-prd-복원 §2-2) · 헤더 s-team 「2주차<br>3교시」→「2차시<br>PART 4」(M1 동반) · C3-N1(«PRD» 정의 장)의 약어 풀이 «제품 요구사항 문서» · 표준 양식 없음 · 분량은 규모 따라를 흡수해 한 장으로 재배열(M5 동반) — 누가 쓰나 · 누구에게 · 형식 대 5항목 · 언제 읽히나 비교 · 원본 도구명 「에이전트(Codex)」의 Codex 1곳은 가져오지 않는다(M2 · §③ M2 표 · §⑧-12) · 이미지 s37_prd-concept-vs-prdmd-file-paper-cut-v1-transparent.png 재사용 · 원본 전용 클래스 c3-2-figure · cc-neq는 2주차 revision.css로 이식하고 새 구도 클래스는 계약 layout_families에 등재 · 최종 화면 문구는 W2 조립본(G1-결정표)이 정본,PRD 대 prd.md 비교 축(누가 쓰나 · 누구에게 · 형식 대 5항목 · 언제 읽히나) · C3-N1 흡수분(«제품 요구사항 문서» 약어 풀이 · 표준 양식 없음 · 분량은 규모 따라) · 이미지 s37,1.0,2026-09-11 사용자 결정(U1) — prd.md 내용을 넣는다(PRD와 prd.md 구분 · 5항목 설명 · 실제 prd.md 예시). PART 4에서 C1-13(문서 3종) → C3-2(PRD와 prd.md) → C3-N2(prd.md 정의) → C3-3(빈칸은 추측) → N-23(prd.md 예시) → C3-N3(넘기는 법)으로 잇는 첫 장 · 원본 두 장(C3-N1·C3-2)을 한 장으로 합쳐 1.0분 · 이전 제외 판정(조직 기획 문서 비교는 새 커리큘럼 개념 목록에 없음 · 브리프 G11 PM PDF 제외)은 사용자 결정으로 대체 · 커리큘럼_기준안은 수정하지 않는다(계획 D2 — prd.md는 «Markdown 기반 기준 관리»의 사례)
VC-W2-C3-N1,part-03.html,44,PRD,무엇을 왜 만드는지 팀에 알리는 기획 문서,개념,정의+3항목,통합,2차시,PART4,25,M5,C3-2(PRD와 prd.md)에 흡수 — 2026-09-11 사용자 결정(U1) · 약어 풀이 «제품 요구사항 문서» · 표준 양식 없음 · 분량은 규모 따라를 C3-2 비교 장에 남긴다 · 별도 슬라이드 없음,«제품 요구사항 문서»(PRD 약어 풀이) · 표준 양식 없음 · 분량은 규모 따라,0,2026-09-11 사용자 결정(U1) — PRD 정의는 C3-2 비교의 전제라 한 장으로 합친다(M5 통합 정책과 같음) · 이전 제외 판정(C3-2와 같은 사유)은 사용자 결정으로 대체
VC-W2-C3-N2,part-03.html,45,prd.md,에이전트가 시작하기 전과 끝난 뒤 두 번 참고하는 기준 문서,개념,정의+양방향 과정도,수정,2차시,PART4,26,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 4」 · 「2주차 3교시」→「2차시」 · 본문 무변경,「작업 전 …읽고 / 작업 후 …맞춰 봅니다」 양방향 구조 · 「prd.md는 에이전트가 시작하기 전과 끝난 뒤 두 번 참고하는 기준 문서입니다」 결론,1.5,기준 파일이 «전»과 «후» 양쪽에서 쓰인다는 구조가 뉴스 Agent의 NEWS_AGENT.md(선정 기준 + 검증 기준)와 정확히 같음
VC-W2-C3-3,part-03.html,46,각 항목이 왜 AI 결과를 바꾸나,prd.md 고유 5항목 중 하나라도 비우면 그 자리를 AI가 추측으로 메운다,개념,5항 결손표+이미지,수정,2차시,PART4,27,M1,헤더 s-team 「2주차<br>N교시」→「2차시<br>PART 2」 · 「2주차 3교시」→「2차시」 · 본문 무변경 · R-BUILD2 정정: 화면의 다섯 항목(대상·핵심·흐름·제외·완료)은 prd.md 고유 항목(원문 그대로 보존)이며 N-03의 Prompt 5요소(목표·범위·조건·출력·완료 기준)와는 별개 세트다(겹치는 것은 「완료」뿐) — 판정근거의 「Prompt 5요소를 뒤집어 보여주는」 서술은 부정확(핵심메시지·판정근거 칸은 본 작업 쓰기 범위 밖이라 미수정 · 화면 변경 없음) · 2026-09-11 사용자 결정(prd.md 복원 · 계획 §2-3): PART 2 14 → PART 4 27(C3-N2 prd.md 정의 뒤 · N-23 prd.md 예시 앞) · 헤더 s-team 「2차시<br>PART 2」→「2차시<br>PART 4」 · 쪽 번호 참조가 화면·노트에 남았으면 제거 · 보존유보 «빈칸은 AI의 추측이 됩니다» 유지(계약 must_keep),「빈칸은 AI의 추측이 됩니다. 결과가 흔들립니다.」 결론 문장 · 5항목별 결손 결과 목록,1.5,prd.md 고유 5항목을 «비우면 어떻게 되는가»로 뒤집어 보여주는 슬라이드 — N-03(Prompt 5요소 정의) 바로 뒤에 배치 · 2026-09-11: 배치가 «N-03 바로 뒤»에서 «prd.md 5항목 설명 — C3-N2 정의와 N-23 실제 예시 사이»로 바뀜(사용자 결정 U1 · 합격기준 A1 순서)
