| B-011 | 3p 하단 산출물 칩 3개는 유지(라벨만 제거) | 콘텐츠 구성·순서 | 슬라이드특정 | 3p | 1 | A2:A2-039<파일:257> | — | — |
| B-341 | 59p(P5) 캐치프레이즈 삭제 | 콘텐츠 구성·순서 | 슬라이드특정 | 59p | 1 | A2:A2-198<파일:867> | — | — |
| B-343 | 60p(M5) 교시로드맵 공통템플릿 적용 | 콘텐츠 구성·순서 | 슬라이드특정 | 60p | 1 | A2:A2-199<파일:873> | — | — |
| B-348 | 에이전트 규칙 파일 예시 수정, 4단계("합치는 것") 의미 불명확 — 질문 후 답변 | 콘텐츠 정확성 | 슬라이드특정 | 61p | 1 | A1:A1-098<A:5> | — | — |
| B-356 | "실제로 있었던 일" 섹션 삭제, 추가 설명 보강 | 콘텐츠 구성·순서 | 슬라이드특정 | 62p | 1 | A1:A1-099<A:5> | — | — |
| B-357 | 62p 도입설명 내 중요 키워드 강조 | 색·강조 | 슬라이드특정 | 62p | 1 | A2:A2-207<파일:895> | — | — |
| B-358 | 62p 코랄 흐름선 겹침 유지, 더 명확하게 표현 | 레이아웃·배치 | 슬라이드특정 | 62p | 1 | A2:A2-208<파일:896> | — | — |
| B-359 | 62p 두 캡션 같은 높이로 정렬 | 레이아웃·배치 | 슬라이드특정 | 62p | 1 | A2:A2-209<파일:897> | — | — |
| B-360 | 62p 「실제로 있었던 일」 블록 정보 전부 삭제(1차 §3 결정 번복) | 콘텐츠 구성·순서 | 슬라이드특정 | 62p `C4-9` | 1 | A3:A3-149<F:665> | — | — |
| B-361 | 62p 삭제한 자리에 검증 필요성 설명 대체 삽입 | 콘텐츠 정확성 | 슬라이드특정 | 62p `C4-9` | 1 | A3:A3-150<F:666> | — | — |
| B-362 | 62p 4단계 "합치는 건 내가 한다"를 판정 주체 명시로 재작성(확정문안) | 콘텐츠 정확성 | 슬라이드특정 | 62p `C4-9` | 1 | A3:A3-151<F:667> | — | — |
| B-364 | 63p 두 축 텍스트 크기 확대(대비 우선 인지) | 타이포·텍스트 | 슬라이드특정 | 63p | 1 | A2:A2-211<파일:906> | — | — |
| B-365 | 63p 하단 한줄("버튼은 하는 일을 말한다…") 삭제 | 콘텐츠 구성·순서 | 슬라이드특정 | 63p | 1 | A2:A2-212<파일:907> | — | — |
| B-366 | 63p 우측 "그래서 이렇게 되묻습니다" → "검토가 필요하다"류로 변경 | 타이포·텍스트 | 슬라이드특정 | 63p `C4-14` | 2 | A3:A3-152<F:675>; A3:A3-153<F:676>; A1:A1-100<A:5> | — | — |
| B-367 | 63p 하단에 작은 예시 프롬프트 추가(§0-9) | 실습·프롬프트 | 슬라이드특정 | 63p `C4-14` | 2 | A3:A3-154<F:176>; A1:A1-101<A:5> | — | — |
| B-369 | 64p 우측 부분 재제작, 슬라이드 높이 중앙으로 위치 이동, 이전 버전이 더 나았음 — 더 직설적으로 재작업 | 레이아웃·배치 | 슬라이드특정 | 64p | 1 | A1:A1-135<A:7> | — | — |
| B-370 | 64p 채도처리(좌 낮춤/우 밝게) 유지 확정 | 색·강조 | 슬라이드특정 | 64p | 1 | A2:A2-214<파일:916> | — | — |
| B-371 | 64p 글자 잘림("가장 흔한 실/패" 등) 확인·조정 | 타이포·텍스트 | 슬라이드특정 | 64p | 1 | A2:A2-215<파일:917> | — | — |
| B-375 | 64p 15배 막대·글 겹침 해소(최우선, 축 잘라 라벨 표기, 확정) | 레이아웃·배치 | 슬라이드특정 | 64p `C4-10` | 2 | A3:A3-155<F:683>; A1:A1-102<A:5> | — | — |
| B-376 | 64p 서브에이전트/멀티에이전트 정의 사용자 정의로 정정 | 콘텐츠 정확성 | 슬라이드특정 | 64p `C4-10` | 2 | A3:A3-157<F:685>; A1:A1-103<A:5> | — | — |
| B-377 | 64p "다른 이야기입니다" 문장 삭제 또는 전면 수정 | 타이포·텍스트 | 슬라이드특정 | 64p `C4-10` | 1 | A3:A3-156<F:684> | — | — |
| B-405 | 68p 상세설명(실습절차 줄글) 추가 | 콘텐츠 구성·순서 | 슬라이드특정 | 68p | 1 | A2:A2-234<파일:970> | — | — |
| B-406 | 68p "완성" 유지, 기준 명확화 | 콘텐츠 구성·순서 | 슬라이드특정 | 68p | 1 | A2:A2-235<파일:971> | — | — |
| B-407 | 68p 하단 "'맡기기 전에 주는 것' 한 칸입니다" 문구 삭제 | 레이아웃·배치 | 슬라이드특정 | 68p `C4-N1` | 1 | A3:A3-165<F:714> | — | — |
| B-464 | 77p 실습⑩과 동일처리(공통포맷+단계구체화+줄글설명) | 콘텐츠 구성·순서 | 슬라이드특정 | 77p(C5-17) | 1 | A2:A2-256<파일:1063> | — | — |
| B-513 | [약속] 1교시 — 주제 선정 8기준(1-7)·기능유형 분류(1-8) 신설, 템플릿 주제 사례는 FLEX로 이동 | 콘텐츠 구성·순서 | 파트·구간 | 1교시 | 0 | A4:A4-020<F1:278, F1:281> | A4:A4-020<F1:278, F1:281> | — |
| B-536 | [약속] Memory/CLAUDE.md는 다른 도구용이라 본문에서 경계·인접 처리, 심화는 노트로만 | 콘텐츠 정확성 | 슬라이드특정 | 6-8 | 0 | A4:A4-018<F1:257> | A4:A4-018<F1:257> | — |
| B-540 | [지적] 모바일 "카드 쌓임" 관찰 불가 — 예제 5종 전부 카드 1개뿐, 관찰 목록 제외 또는 다중카드 예제 신설 필요(사람 결정) | 실습·프롬프트 | 파트·구간 | 6구간 짝점검 | 0 | A5:A5-039<2주차_최종결정본.html:1061-1062> | — | — |
| B-541 | [지적] 짝 점검(6구간) 실행 — 6쌍 동시진행 소요·소음 수준 미확인, 리허설 필요 | 실습·프롬프트 | 파트·구간 | 6구간 짝점검 | 0 | A5:A5-043<최종결정본.html:1072> | — | — |
| B-568 | [약속] 짝 점검을 6구간에 신설(타인 관찰 경험 공백 메움) | 콘텐츠 구성·순서 | 파트·구간 | PART6 | 0 | A5:A5-047<최종결정본.html:1049> | A5:A5-047<최종결정본.html:1049> | — |
| B-590 | 신설슬라이드 나머지 1장 — MVP비유와 주제정하기 연결, 중복 없이 | 콘텐츠 구성·순서 | 슬라이드특정 | 신설(PART2) | 1 | A2:A2-314<파일:1343> | — | — |
