| B-014 | 미반영 | 강의덱.html:2015 | 현재 제목 "오늘 하루로 첫 MVP까지 갑니다" — 요청된 "여섯 교시가 첫 MVP로 이어집니다" 아님 |
| B-224 | 미반영 | 강의덱.html:4310-4351(C3-2) 전역 검색 | agent.md→PRD.md 읽기순서 서술 부재(취소 결정과 결과적으로 일치) |
| B-242 | 미반영 | 강의덱.html:4383 | "에이전트가 prd.md를 읽고—대상·핵심·흐름" 구조 문장이 그대로 잔존 |
| B-248 | 미반영 | 강의덱.html:6005-6006,6623-6634 | "모델+하네스+작업환경" 수식(hn-formula)이 display:none으로 비표시, 실제 화면은 hn-reframe(다른 골격) |
| B-250 | 미반영 | 강의덱.html:4417(c33-rows, viz-* 미사용) cf.4585(viz-matrix 사례) | 좌측이 kit/charts 계열(viz-*) 클래스가 아닌 커스텀 리스트로 재구성됨 |
| B-251 | 미반영 | 강의덱.html:4424 | 확정문구 "다섯 항목을 먼저 채우고, 바뀌면 그때 고칩니다" 전역 부재, 실제 문구는 다름 |
| B-252 | 부분반영 | 강의덱.html:6618 | 제목이 "하네스 엔지니어링이란?"으로, 요청한 "하네스란 무엇인가"와 취지는 같으나 표현 불일치 |
| B-260 | 부분반영 | 강의덱.html:4518-4548 | 터미널 블록이 C3-5 내부가 아닌 별도 슬라이드 C3-P5로 존재 |
| B-274 | 부분반영 | 강의덱.html:4634-4679 | 터미널 블록이 C3-6 내부가 아닌 인접 별도 슬라이드 C3-N3에 존재 |
| B-285 | 미반영 | 강의덱.html:6468 | "모델이 하는 일에 제약을 걸어"라는 지적된 문구가 그대로 잔존 |
| B-295 | 미반영 | 강의덱.html:6678-6682 | 출처(Mitchell Hashimoto)가 "유지" 아닌 4단계 흐름으로 전면 교체·삭제 |
| B-300 | 미반영 | 강의덱.html:6215 cf.1840 | font-size 24px로 오히려 확대(기본 23px 대비), font-weight 800(볼드) 유지로 축소 없음 |
| B-302 | 미반영 | 강의덱.html:6761-6763 | C4-12 "저장/기억/확인" 3칸 박스 구조가 그대로 남아 §0-1 패턴 해소 안 됨 |
| B-312 | 부분반영 | 강의덱.html:6744-6750 | "바깥층"→"바깥 틀"로 용어는 교체됐으나, "좌측 프롬프트 박스"가 중첩 원형(ns-ring) 디자인으로 전면 교체되어 "높이 확대" 여부는 판정 불가 |
| B-363 | 부분반영 | 강의덱.html:5151-5157 | C5-2 리드문에 "같은 내용, 같은 기능인데 순서와 크기만 바꿨습니다" 통합됐으나 별도 "앞 슬라이드" 신설은 아님 |
| B-374 | 부분반영 | 강의덱.html:5296 | C5-4 "색은 쓰되, 색만으로는 말하지 않습니다" 문장은 유지 확인. 디자인 변경 여부는 정적 텍스트로 판정 불가 |
| B-379 | 미반영 | 강의덱.html:5472-5474 | C5-5 제목·리드는 직설적이나 "정의→비유" 3단 구조(비유 요소) 확인 안 됨 |
| B-381 | 미반영 | 강의덱.html:5533-5536 | C5-6 하단 화살표 4개(SVG path, marker-end) 그대로 존재 |
| B-382 | 미반영 | 강의덱.html:5499-5547 | C5-6 내 반응형 관련 문구 없음(별도 A6F1 슬라이드에서 전체 페이지로 다룸) |
| B-391 | 미반영 | 강의덱.html:5507-5509 | C5-6 제목·리드 존재하나 "정의→비유" 3단 구조(비유) 확인 안 됨 |
| B-400 | 부분반영 | 강의덱.html:5572-5574 | 이미지는 존재하나 "통째복사 vs 관찰" 대비 구도가 아닌 "관찰" 단일 테마 |
| B-408 | 미반영 | 강의덱.html:5589("예쁘다"는 느낌만 적으면 다음 실습에 옮길 수 없습니다) | C5-8에 해당 개념·문구가 여전히 존재, 삭제되지 않음 |
| B-422 | 부분반영 | "프로젝트 고도화"/"PRD.md·design.md를 사용하여" 전체 grep 무검색 | 옛 목록 삭제는 확인되나 지정 대체문구는 어디에도 없음 |
| B-431 | 미반영 | "고퀄리티 프롬프트"/전용 신설장 grep 무검색(C1-1 태그 1건만 존재) | 신설장 없음 |
| B-433 | 부분반영 | 강의덱.html:5700-5716 | 목록은 각 1개로 축소됐으나 실캡처(IMG) 아닌 SVG라 "캡처가 주인공"은 아님 |
| B-437 | 미반영 | 강의덱.html:5717-5739 | 순수 SVG(<img> 없음) — 실제캡처(IMG-18) 아님 |
| B-446 | 부분반영 | 강의덱.html:5753-5763,5767-5769 | 좌측 3단계 텍스트는 존치, 우측에 이미지가 "추가"됐을 뿐 텍스트를 "대체"하지 않음 |
| B-493 | 부분반영 | 강의덱.html:4462-4487 | 역할 구분 표는 있으나 "Codex 프롬프트 만드는" 단계별 절차는 없음 |
| B-497 | 미반영 | 강의덱.html:7435-7440 | A3F3은 3열 카드(p6-grid3) 텍스트형, "좌세로텍스트/우큰그림" 형태 아님 |
| B-503 | 부분반영 | 6858-6860,6812-6900,6446-6451 | C4-11(구A5F2)은 C4-N2 바로 뒤이나 물리적으로 PART4가 아니라 PART5(P5"AI 작업 시스템") 구간 |
| B-505 | 미반영 | 6873-6895 | dg-list 덱 내 유일 사용(1건), 실습 공통포맷 공유 증거 없음 |
| B-525 | 부분반영 | 5116,5136-5138 | IA정의는 있으나 "IA vs UserFlow비교"는 2026-08-02 요청으로 제거된 주석 확인 |
| B-533 | 부분반영 | 5345(리팩터링 신설↑),4552(C5-11이 3교시 위치) | 리팩터링 신설은 확인, "3교시→5교시 이동"은 C5-11이 3교시 s-team으로 남아 불일치 |
| B-537 | 부분반영 | THX(112번째),1609,1615(주석만) | THANK YOU분리 유지, C6-7/C6-8 신설분은 섹션 자체 없음 |
| B-543 | 미반영 | 2469,2508 | has-img-r(우측), "중앙 큰 이미지" 아님 |
| B-546 | 미반영 | 6812-6815 | C3-N4 실제로 5교시(PART5)에 위치, "PART3 유지" 아님 |
| B-549 | 부분반영 | 2372,3179,4167,5027,6454 | M1~M5 5개 통일, M6 부재 |
| B-553 | 미반영 | (부재확인) | M6 현재 존재 안 함, "유지 확정"과 배치(B-564와 상충) |
| B-561 | 미반영 | 5019-5025,6446-6451 | P4→4교시,P5→5교시 정상대응, divider ID교환 증거 없음 |
| B-563 | 미반영 | (부재확인) | "90분"·"정렬지점"·"끼어들기" 덱+노트 0건 |
| B-564 | 부분반영 | (M6 부재확인),7378-7448 | M6삭제 확인되나 정리장 수량(11개)이 "3~4장"과 차이 |
| B-583 | 부분반영 | 3294,3325-3326 | MVP슬라이드 1장만 생존, 연결슬라이드(C2-N2)는 삭제 |
| B-591 | 부분반영 | 6446-6451,6812,6839,7131 | 2+1장 신설 확인, 실위치는 PART5 |
| B-597 | 미반영 | (부재확인) | "카파시"·"Karpathy" 0건, 인용구 형식 없음 |
| B-598 | 미반영 | pos89(C4-11)<pos96(C4-N3) | Skill신설이 하네스실습보다 뒤에 위치 |
| B-600 | 미반영 | (B-510 참조) | 예비확장 7장 생존, "전부삭제"와 불일치 |
| B-606 | 부분반영 | 강의덱.html 전역 `합니다[.<]` 매치 124건 | "~합니다" 종결이 다수 잔존 |
| B-614 | 부분반영 | 강의덱.html:4800-4803(C5-19/20 raw hex, 스코프 내) vs :604,1263,3910(스코프 밖 raw hex 잔존) | 예외 자체는 등재됐으나 타 슬라이드에도 별도 raw hex 존재 |
| B-619 | 부분반영 | 강의덱.html:2076,5022 부근(PART5 "AI 작업 시스템"+하네스 실습) | 신설 자체는 확인, 개념 20개 수치 미확인 |
| B-622 | 부분반영 | 강의덱.html:67-72(S03 "1~4교시" 결함 문구 미검출) | 항목6 결함은 수정된 듯하나 노드/항목 교환 자체는 이전 순서 기준 없어 비교 불가 |
| B-626 | 미반영 | 강의덱.html:3577,5490-5492,6502,6534 | "문장—부연" em dash 이어붙이기 다수 잔존 |
| B-639 | 미반영 | 강의덱.html: class="slide" 113개 | 명제의 98장과 불일치(현재 112~113장) |
| B-644 | 미반영 | 강의덱.html:604(--mint-bright),1263(--accent-note류),3910(--accent-gpt) | C5-19/20 스코프 밖 raw hex 잔존 |
| B-646 | 미반영 | 강의덱_발표자노트.html: "오개념" 전체 1건(:1150) | 개념마다 12항목 반영과 거리 있음 |
| B-656 | 미반영 | 강의덱.html: pr-done류 완전 미사용, 주석 "완성 박스 제거"(:4079,4121,4939) | "완성 블록 유지" 결정과 배치, 실제로 제거됨 |
| B-666 | 부분반영 | 강의덱.html:7414,7422("MVP는 작아도 한 번 쓸 수 있어야 합니다" 등 PART6 카드 제목) | 개념 제목은 대체로 명사형이나 PART6 카드 제목 다수가 완결 문장형 |
| B-668 | 부분반영 | B-666과 동일 근거 | 대제목 대부분 직설적이나 일부 문장형 잔존 |
| B-675 | 미반영 | 강의덱.html: class="slide" 113개 | 슬라이드예산 80±6(≤86)과 불일치 |
