order_id,order_date,order_status,customer_id,customer_type,age_group,region,category,product_name,brand,quantity,unit_price_krw,cost_per_unit_krw,discount_rate,shipping_fee_krw,payment_method,delivery_days,rating,returned,return_reason
ORD00054,2025-11-15,Completed,C0301,Returning,18-24,Gangwon,Beauty,Lip Tint,Mellow,3,14000,5000,0.05,3000,Virtual Account,2,5,No,
ORD00055,2025-09-26,Completed,C0407,Returning,35-44,Daejeon,Beauty,Sunscreen SPF50,Glow,2,18000,7000,0,3000,Card,2,4,No,
ORD00056,2025-06-09,Completed,C0099,VIP,35-44,Gangwon,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0.1,3000,Virtual Account,5,4,No,
ORD00057,2025-05-26,Completed,C0138,New,25-34,Daegu,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0,3000,Virtual Account,4,4,No,
ORD00058,2025-09-21,Completed,C0431,Returning,45-54,Gwangju,Home,Storage Box Set,NeatHome,4,29000,12000,0,0,Virtual Account,1,5,No,
ORD00059,2025-10-11,Completed,C0738,Returning,35-44,Daejeon,Home,Storage Box Set,NeatHome,4,29000,12000,0,3000,Virtual Account,2,5,No,
ORD00060,2025-12-15,Completed,C0690,Returning,55+,Incheon,Electronics,Smart Watch,Pulse,3,99000,47000,0,3000,Mobile Pay,3,5,No,
ORD00061,2025-09-15,Completed,C0283,New,18-24,Gangwon,Home,Storage Box Set,NeatHome,2,29000,12000,0,3000,Card,6,3,No,
ORD00062,2025-09-17,Completed,C0072,New,25-34,Gwangju,Food,Gift Snack Box,HappyBox,1,33000,14000,0,3000,Virtual Account,4,5,No,
ORD00063,2025-09-28,Completed,C0114,Returning,25-34,Gangwon,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Card,5,5,No,
ORD00064,2025-10-13,Completed,C0501,Returning,45-54,Incheon,Beauty,Lip Tint,Mellow,2,14000,5000,0,3000,Virtual Account,1,4,No,
ORD00065,2025-02-14,Cancelled,C0133,Returning,25-34,Daegu,Food,Gift Snack Box,HappyBox,2,33000,14000,0.25,0,Card,,,No,
ORD00066,2025-11-11,Completed,C0536,New,45-54,Jeju,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0,3000,Bank Transfer,2,5,No,
ORD00067,2025-11-02,Completed,C0628,Returning,25-34,Gwangju,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Mobile Pay,2,5,No,
ORD00068,2025-02-26,Completed,C0464,New,45-54,Gyeonggi,Electronics,Smart Watch,Pulse,2,99000,47000,0,3000,Card,3,5,No,
ORD00069,2025-12-24,Cancelled,C0470,New,35-44,Busan,Electronics,Wireless Earbuds,Nova,1,49000,24000,0,0,Mobile Pay,,,No,
ORD00070,2025-01-13,Completed,C0105,New,18-24,Gangwon,Electronics,Smart Watch,Pulse,3,99000,47000,0,3000,Virtual Account,9,3,No,
ORD00071,2025-10-29,Completed,C0524,New,35-44,Seoul,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,3000,Virtual Account,1,,No,
ORD00072,2025-11-29,Completed,C0754,New,35-44,Seoul,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0,3000,Bank Transfer,1,4,No,
ORD00073,2025-03-16,Completed,C0085,New,18-24,Daejeon,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Mobile Pay,5,5,No,
ORD00074,2025-10-14,Completed,C0375,Returning,25-34,Daegu,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0.1,3000,Mobile Pay,5,4,No,
ORD00075,2025-11-29,Completed,C0485,New,55+,Daegu,Home,Storage Box Set,NeatHome,3,29000,12000,0.15,0,Virtual Account,2,5,No,
ORD00076,2025-10-01,Completed,C0569,Returning,18-24,Busan,Pet,Pet Bed,ComfyPaws,3,47000,20000,0,3000,Card,2,5,No,
ORD00077,2025-06-11,Completed,C0821,Returning,45-54,Daegu,Food,Gift Snack Box,HappyBox,2,33000,14000,0,3000,Virtual Account,2,5,No,
ORD00078,2025-10-31,Completed,C0559,VIP,55+,Gangwon,Beauty,Lip Tint,Mellow,1,14000,5000,0,3000,Bank Transfer,6,3,No,
ORD00079,2025-11-13,Completed,C0159,Returning,18-24,Incheon,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0,3000,Bank Transfer,1,4,No,
ORD00080,2025-09-19,Completed,C0839,Returning,55+,Gangwon,Pet,Cat Toy Bundle,PawJoy,3,19000,8000,0,0,Mobile Pay,2,4,No,
ORD00081,2025-10-17,Completed,C0491,VIP,25-34,Gwangju,Beauty,Lip Tint,Mellow,3,14000,5000,0.05,3000,Bank Transfer,4,5,No,
ORD00082,2025-09-24,Completed,C0610,VIP,18-24,Gyeonggi,Fashion,Crossbody Bag,Morrow,1,43000,18000,0,0,Bank Transfer,3,4,No,
ORD00083,2025-09-06,Completed,C0083,New,18-24,Daejeon,Home,Desk Lamp,Lumen,3,39000,16000,0,3000,Mobile Pay,2,3,Yes,Late delivery
ORD00084,2025-01-26,Completed,C0211,Returning,55+,Gangwon,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,3000,Card,3,5,No,
ORD00085,2025-08-26,Completed,C0344,New,55+,Gyeonggi,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Bank Transfer,3,5,No,
ORD00086,2025-11-28,Completed,C0187,New,25-34,Gyeonggi,Food,Gift Snack Box,HappyBox,3,33000,14000,0,3000,Card,4,5,No,
ORD00087,2025-10-15,Completed,C0172,New,35-44,Gyeonggi,Beauty,Hydrating Serum,PureLab,1,22000,9000,0,3000,Card,2,4,No,
ORD00088,2025-03-22,Completed,C0697,New,25-34,Gwangju,Food,Protein Bar Pack,FitBite,1,28000,12000,0.2,3000,Card,4,4,No,
ORD00089,2025-10-08,Completed,C0428,New,45-54,Gyeonggi,Pet,Cat Toy Bundle,PawJoy,4,19000,8000,0,3000,Bank Transfer,2,5,No,
ORD00090,2025-02-11,Completed,C0476,Returning,55+,Incheon,Electronics,Bluetooth Speaker,Soundly,1,65000,31000,0,3000,Card,3,,No,
ORD00091,2025-05-14,Completed,C0491,VIP,35-44,Jeju,Electronics,Wireless Earbuds,Nova,3,49000,24000,0,3000,Mobile Pay,5,5,No,
ORD00092,2025-05-03,Completed,C0763,New,25-34,Busan,Food,Protein Bar Pack,FitBite,2,28000,12000,0,3000,Bank Transfer,3,5,No,
ORD00093,2025-07-31,Completed,C0040,Returning,55+,Daegu,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,3000,Virtual Account,4,4,No,
ORD00094,2025-11-14,Completed,C0283,VIP,55+,Daegu,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,3000,Card,5,5,No,
ORD00095,2025-11-15,Completed,C0143,New,18-24,Daejeon,Fashion,Crossbody Bag,Morrow,3,43000,18000,0,3000,Bank Transfer,5,4,No,
ORD00096,2025-12-24,Completed,C0126,New,55+,Seoul,Pet,Pet Bed,ComfyPaws,4,47000,20000,0.25,3000,Virtual Account,5,5,No,
ORD00097,2025-01-23,Cancelled,C0212,New,55+,Gangwon,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,0,Mobile Pay,,,No,
ORD00098,2025-06-08,Completed,C0450,Returning,35-44,Jeju,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,3000,Virtual Account,1,5,No,
ORD00099,2025-09-15,Completed,C0293,New,18-24,Jeju,Pet,Dog Treats 1kg,Barkly,3,25000,11000,0.25,3000,Mobile Pay,6,3,No,
ORD00100,2025-09-10,Completed,C0406,Returning,25-34,Jeju,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,0,Bank Transfer,3,5,No,
ORD00101,2025-09-12,Completed,C0615,Returning,18-24,Gwangju,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Bank Transfer,3,4,No,
ORD00102,2025-11-13,Completed,C0848,Returning,35-44,Daejeon,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Card,1,5,No,
ORD00103,2025-02-13,Completed,C0449,Returning,18-24,Busan,Home,Desk Lamp,Lumen,2,39000,16000,0,0,Mobile Pay,5,4,No,
ORD00104,2025-06-05,Completed,C0299,Returning,45-54,Busan,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Bank Transfer,5,5,No,
ORD00105,2025-04-26,Completed,C0624,New,35-44,Gangwon,Beauty,Lip Tint,Mellow,4,14000,5000,0.2,3000,Virtual Account,1,5,No,
ORD00106,2025-12-23,Completed,C0101,Returning,18-24,Gwangju,Beauty,Lip Tint,Mellow,2,14000,5000,0,0,Bank Transfer,2,5,No,
ORD00107,2025-06-05,Completed,C0337,VIP,45-54,Daejeon,Pet,Dog Treats 1kg,Barkly,1,25000,11000,0,0,Card,5,4,No,
ORD00108,2025-05-16,Completed,C0105,New,18-24,Jeju,Fashion,Oversized Hoodie,Northline,3,45000,21000,0,3000,Virtual Account,6,4,No,
ORD00109,2025-07-01,Completed,C0196,VIP,35-44,Daejeon,Home,Desk Lamp,Lumen,1,39000,16000,0.25,3000,Bank Transfer,1,,No,
ORD00110,2025-01-24,Completed,C0767,New,55+,Gangwon,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0.15,3000,Mobile Pay,6,3,No,
ORD00111,2025-08-08,Completed,C0418,Returning,18-24,Incheon,Fashion,Oversized Hoodie,Northline,4,45000,21000,0.2,3000,Bank Transfer,2,5,No,
ORD00112,2025-11-21,Pending,C0129,New,55+,Daejeon,Beauty,Sunscreen SPF50,Glow,4,18000,7000,0,0,Card,,,No,
ORD00113,2025-08-09,Cancelled,C0575,VIP,35-44,Incheon,Home,Cotton Towel Set,SoftDay,2,24000,10000,0,0,Virtual Account,,,No,
ORD00114,2025-02-19,Completed,C0521,New,35-44,Daejeon,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0,3000,Mobile Pay,1,5,No,
ORD00115,2025-10-03,Completed,C0300,New,18-24,Busan,Electronics,Wireless Earbuds,Nova,4,49000,24000,0,0,Bank Transfer,3,5,No,
ORD00116,2025-04-14,Completed,C0234,New,35-44,Incheon,Beauty,Hydrating Serum,PureLab,3,22000,9000,0.05,3000,Card,3,4,No,
ORD00117,2025-06-03,Cancelled,C0490,New,35-44,Daegu,Food,Protein Bar Pack,FitBite,2,28000,12000,0.2,0,Bank Transfer,,,No,
ORD00118,2025-09-08,Completed,C0246,VIP,55+,Gwangju,Home,Desk Lamp,Lumen,4,39000,16000,0,3000,Card,5,5,No,
ORD00119,2025-02-08,Completed,C0248,New,25-34,Daejeon,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,0,Mobile Pay,3,4,No,
ORD00120,2025-05-01,Completed,C0103,New,35-44,Gangwon,Electronics,Smart Watch,Pulse,4,99000,47000,0,3000,Bank Transfer,7,4,No,
ORD00121,2025-05-14,Completed,C0649,VIP,55+,Busan,Beauty,Lip Tint,Mellow,3,14000,5000,0,0,Card,4,4,No,
ORD00122,2025-03-24,Completed,C0759,New,45-54,Busan,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,3000,Bank Transfer,4,5,No,
ORD00123,2025-11-28,Completed,C0812,VIP,35-44,Busan,Food,Coffee Bean 1kg,BeanRoot,4,32000,15000,0,3000,Mobile Pay,2,,No,
ORD00124,2025-08-06,Completed,C0315,Returning,25-34,Gwangju,Food,Gift Snack Box,HappyBox,1,33000,14000,0,0,Bank Transfer,3,4,No,
ORD00125,2025-01-11,Completed,C0547,New,18-24,Gangwon,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,3000,Card,9,4,No,
ORD00126,2025-12-30,Completed,C0496,Returning,18-24,Gangwon,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,0,Virtual Account,3,5,No,
ORD00127,2025-02-25,Completed,C0716,New,18-24,Gwangju,Food,Protein Bar Pack,FitBite,1,28000,12000,0.2,3000,Card,4,5,No,
ORD00128,2025-05-12,Completed,C0729,Returning,55+,Daejeon,Pet,Pet Bed,ComfyPaws,4,47000,20000,0,3000,Virtual Account,1,5,No,
ORD00129,2025-01-15,Completed,C0688,Returning,18-24,Gangwon,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,3000,Card,7,4,No,
ORD00130,2025-05-27,Completed,C0769,New,18-24,Gangwon,Home,Storage Box Set,NeatHome,1,29000,12000,0,0,Bank Transfer,8,2,Yes,Wrong size
ORD00131,2025-10-08,Completed,C0335,VIP,18-24,Daejeon,Beauty,Lip Tint,Mellow,3,14000,5000,0.15,3000,Bank Transfer,3,5,No,
ORD00132,2025-04-12,Completed,C0727,New,55+,Daegu,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Virtual Account,5,4,No,
ORD00133,2025-11-04,Completed,C0738,New,35-44,Jeju,Home,Storage Box Set,NeatHome,3,29000,12000,0,3000,Mobile Pay,5,4,No,
ORD00134,2025-07-18,Completed,C0072,VIP,35-44,Gyeonggi,Home,Storage Box Set,NeatHome,4,29000,12000,0,3000,Card,2,5,No,
ORD00135,2025-10-23,Completed,C0283,VIP,18-24,Jeju,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Card,7,3,No,
ORD00136,2025-09-13,Cancelled,C0797,New,25-34,Busan,Electronics,Wireless Earbuds,Nova,4,49000,24000,0.1,0,Bank Transfer,,,No,
ORD00137,2025-12-26,Completed,C0117,VIP,25-34,Daegu,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0.15,0,Virtual Account,5,5,No,
ORD00138,2025-01-06,Completed,C0023,Returning,25-34,Jeju,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0.1,3000,Mobile Pay,9,4,No,
ORD00139,2025-06-07,Completed,C0434,New,55+,Busan,Food,Gift Snack Box,HappyBox,3,33000,14000,0,0,Card,5,4,No,
ORD00140,2025-12-09,Completed,C0344,VIP,55+,Gwangju,Fashion,Canvas Sneakers,Walkon,1,59000,26000,0,3000,Card,2,5,No,
ORD00141,2025-03-02,Completed,C0837,New,35-44,Daegu,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0,3000,Card,5,4,No,
ORD00142,2025-08-11,Completed,C0399,Returning,45-54,Daejeon,Pet,Pet Bed,ComfyPaws,2,47000,20000,0.25,3000,Mobile Pay,3,5,No,
ORD00143,2025-06-21,Completed,C0264,VIP,45-54,Gangwon,Home,Storage Box Set,NeatHome,1,29000,12000,0,3000,Card,1,4,No,
ORD00144,2025-01-30,Completed,C0414,VIP,25-34,Gangwon,Fashion,Canvas Sneakers,Walkon,3,59000,26000,0,3000,Virtual Account,1,5,No,
ORD00145,2025-01-08,Completed,C0236,New,55+,Gwangju,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Virtual Account,4,5,No,
ORD00146,2025-12-18,Completed,C0179,Returning,18-24,Gangwon,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0.15,3000,Mobile Pay,5,4,No,
ORD00147,2025-06-30,Completed,C0191,VIP,55+,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0.2,3000,Bank Transfer,3,4,No,
ORD00148,2025-07-06,Completed,C0346,New,35-44,Gwangju,Electronics,Wireless Earbuds,Nova,2,49000,24000,0,3000,Mobile Pay,1,4,No,
ORD00149,2025-09-01,Completed,C0517,New,18-24,Gyeonggi,Beauty,Lip Tint,Mellow,4,14000,5000,0,3000,Card,5,4,No,
ORD00150,2025-02-03,Completed,C0181,New,45-54,Gwangju,Home,Storage Box Set,NeatHome,1,29000,12000,0,3000,Virtual Account,2,4,No,
ORD00151,2025-01-08,Completed,C0505,New,45-54,Jeju,Electronics,Wireless Earbuds,Nova,1,49000,24000,0,0,Mobile Pay,7,4,No,
ORD00152,2025-06-07,Completed,C0405,New,55+,Busan,Home,Desk Lamp,Lumen,3,39000,16000,0.05,3000,Mobile Pay,2,5,No,
ORD00153,2025-07-03,Completed,C0584,Returning,45-54,Daejeon,Home,Cotton Towel Set,SoftDay,3,24000,10000,0.25,3000,Card,3,5,No,
ORD00154,2025-10-28,Completed,C0745,VIP,18-24,Incheon,Home,Storage Box Set,NeatHome,2,29000,12000,0,3000,Card,2,5,No,
ORD00155,2025-11-07,Completed,C0331,Returning,45-54,Busan,Fashion,Canvas Sneakers,Walkon,1,59000,26000,0.2,3000,Mobile Pay,3,5,No,
ORD00156,2025-03-16,Completed,C0710,Returning,18-24,Incheon,Home,Cotton Towel Set,SoftDay,2,24000,10000,0.15,3000,Card,4,,No,
ORD00157,2025-08-14,Pending,C0776,Returning,18-24,Incheon,Beauty,Hydrating Serum,PureLab,2,22000,9000,0,0,Card,,,No,
ORD00158,2025-09-20,Completed,C0215,VIP,45-54,Seoul,Beauty,Hydrating Serum,PureLab,2,22000,9000,0,3000,Bank Transfer,4,,No,
ORD00159,2025-07-07,Completed,C0150,Returning,25-34,Incheon,Food,Protein Bar Pack,FitBite,3,28000,12000,0,3000,Card,4,5,No,
ORD00160,2025-02-19,Completed,C0239,New,18-24,Gangwon,Pet,Dog Treats 1kg,Barkly,3,25000,11000,0,3000,Virtual Account,2,5,No,
ORD00161,2025-06-01,Cancelled,C0820,Returning,45-54,Gangwon,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0.05,0,Virtual Account,,,No,
ORD00162,2025-05-22,Completed,C0709,New,25-34,Incheon,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0,3000,Card,2,4,No,
ORD00163,2025-10-31,Completed,C0152,VIP,55+,Gyeonggi,Beauty,Hydrating Serum,PureLab,1,22000,9000,0,3000,Virtual Account,4,4,No,
ORD00164,2025-01-17,Completed,C0547,VIP,55+,Busan,Electronics,Wireless Earbuds,Nova,3,49000,24000,0.1,3000,Card,3,4,No,
ORD00165,2025-08-12,Completed,C0229,New,35-44,Jeju,Fashion,Canvas Sneakers,Walkon,2,59000,26000,0,3000,Bank Transfer,2,5,No,
ORD00166,2025-04-24,Completed,C0463,Returning,25-34,Gyeonggi,Beauty,Sunscreen SPF50,Glow,3,18000,7000,0,3000,Virtual Account,4,5,No,
ORD00167,2025-09-26,Completed,C0160,Returning,25-34,Gangwon,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,0,Mobile Pay,5,5,No,
ORD00168,2025-04-23,Completed,C0746,Returning,18-24,Seoul,Fashion,Oversized Hoodie,Northline,1,45000,21000,0.2,0,Mobile Pay,5,5,No,
ORD00169,2025-10-27,Completed,C0347,New,55+,Daejeon,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0,0,Mobile Pay,3,5,No,
ORD00170,2025-02-16,Completed,C0221,New,45-54,Daegu,Food,Protein Bar Pack,FitBite,3,28000,12000,0.05,0,Card,2,5,No,
ORD00171,2025-03-18,Completed,C0044,New,25-34,Incheon,Electronics,Wireless Earbuds,Nova,4,49000,24000,0,3000,Bank Transfer,1,4,No,
ORD00172,2025-02-13,Completed,C0785,Returning,45-54,Daejeon,Electronics,Smart Watch,Pulse,3,99000,47000,0,3000,Bank Transfer,3,5,No,
ORD00173,2025-02-25,Completed,C0365,Returning,35-44,Seoul,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,0,Virtual Account,1,4,No,
ORD00174,2025-10-30,Completed,C0602,Returning,18-24,Busan,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,0,Virtual Account,3,5,No,
