order_id,order_date,order_status,customer_id,customer_type,age_group,region,category,product_name,brand,quantity,unit_price_krw,cost_per_unit_krw,discount_rate,shipping_fee_krw,payment_method,delivery_days,rating,returned,return_reason,order_month,net_revenue_krw,cost_total_krw,margin_krw,delivery_metric_included,source_line
ORD00035,2025-01-14,Completed,C0279,New,25-34,Daejeon,Fashion,Canvas Sneakers,Walkon,2,59000,26000,0,0,Virtual Account,2,4,No,,2025-01,118000,52000,66000,Yes,36
ORD00036,2025-08-16,Completed,C0217,New,18-24,Busan,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0,3000,Card,2,5,No,,2025-08,130000,62000,68000,Yes,37
ORD00037,2025-12-23,Completed,C0755,New,35-44,Gwangju,Pet,Dog Treats 1kg,Barkly,3,25000,11000,0,3000,Bank Transfer,5,4,No,,2025-12,75000,33000,42000,Yes,38
ORD00038,2025-04-18,Completed,C0115,Returning,55+,Jeju,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Mobile Pay,9,3,No,,2025-04,28800,15000,13800,Yes,39
ORD00039,2025-05-05,Completed,C0032,Returning,35-44,Daegu,Electronics,Smart Watch,Pulse,1,99000,47000,0.05,3000,Virtual Account,1,5,No,,2025-05,94050,47000,47050,Yes,40
ORD00040,2025-02-18,Completed,C0143,Returning,45-54,Gangwon,Pet,Pet Bed,ComfyPaws,3,47000,20000,0.25,3000,Virtual Account,4,5,No,,2025-02,105750,60000,45750,Yes,41
ORD00041,2025-05-02,Completed,C0538,New,55+,Gyeonggi,Beauty,Hydrating Serum,PureLab,2,22000,9000,0,0,Mobile Pay,1,5,No,,2025-05,44000,18000,26000,Yes,42
ORD00042,2025-11-18,Completed,C0242,VIP,18-24,Daejeon,Electronics,Smart Watch,Pulse,4,99000,47000,0.2,3000,Card,1,5,No,,2025-11,316800,188000,128800,Yes,43
ORD00043,2025-09-25,Completed,C0675,Returning,55+,Gangwon,Home,Storage Box Set,NeatHome,2,29000,12000,0.1,3000,Bank Transfer,3,4,No,,2025-09,52200,24000,28200,Yes,44
ORD00044,2025-06-23,Completed,C0581,Returning,45-54,Gangwon,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Card,5,5,No,,2025-06,28800,15000,13800,Yes,45
ORD00045,2025-07-22,Completed,C0080,VIP,45-54,Daejeon,Electronics,Wireless Earbuds,Nova,2,49000,24000,0.25,3000,Card,1,5,No,,2025-07,73500,48000,25500,Yes,46
ORD00046,2025-10-08,Completed,C0817,New,18-24,Gyeonggi,Electronics,Smart Watch,Pulse,2,99000,47000,0,3000,Virtual Account,2,4,No,,2025-10,198000,94000,104000,Yes,47
ORD00047,2025-11-10,Completed,C0491,Returning,45-54,Daejeon,Home,Storage Box Set,NeatHome,4,29000,12000,0.2,0,Mobile Pay,1,3,Yes,Late delivery,2025-11,92800,48000,44800,Yes,48
ORD00048,2025-09-22,Completed,C0359,New,35-44,Gwangju,Food,Gift Snack Box,HappyBox,2,33000,14000,0,3000,Virtual Account,1,4,No,,2025-09,66000,28000,38000,Yes,49
ORD00049,2025-07-16,Completed,C0371,New,35-44,Jeju,Food,Gift Snack Box,HappyBox,1,33000,14000,0.2,3000,Card,7,2,Yes,Damaged item,2025-07,26400,14000,12400,Yes,50
ORD00050,2025-03-23,Completed,C0617,VIP,25-34,Gwangju,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,0,Card,4,5,No,,2025-03,90000,42000,48000,Yes,51
ORD00051,2025-04-13,Completed,C0656,New,25-34,Daejeon,Home,Cotton Towel Set,SoftDay,1,24000,10000,0.15,3000,Virtual Account,5,4,No,,2025-04,20400,10000,10400,Yes,52
ORD00052,2025-05-29,Completed,C0420,Returning,35-44,Gwangju,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0.15,0,Bank Transfer,2,5,No,,2025-05,32300,16000,16300,Yes,53
ORD00054,2025-11-15,Completed,C0301,Returning,18-24,Gangwon,Beauty,Lip Tint,Mellow,3,14000,5000,0.05,3000,Virtual Account,2,5,No,,2025-11,39900,15000,24900,Yes,55
ORD00055,2025-09-26,Completed,C0407,Returning,35-44,Daejeon,Beauty,Sunscreen SPF50,Glow,2,18000,7000,0,3000,Card,2,4,No,,2025-09,36000,14000,22000,Yes,56
ORD00056,2025-06-09,Completed,C0099,VIP,35-44,Gangwon,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0.1,3000,Virtual Account,5,4,No,,2025-06,212400,104000,108400,Yes,57
ORD00057,2025-05-26,Completed,C0138,New,25-34,Daegu,Fashion,Canvas Sneakers,Walkon,4,59000,26000,0,3000,Virtual Account,4,4,No,,2025-05,236000,104000,132000,Yes,58
ORD00058,2025-09-21,Completed,C0431,Returning,45-54,Gwangju,Home,Storage Box Set,NeatHome,4,29000,12000,0,0,Virtual Account,1,5,No,,2025-09,116000,48000,68000,Yes,59
ORD00059,2025-10-11,Completed,C0738,Returning,35-44,Daejeon,Home,Storage Box Set,NeatHome,4,29000,12000,0,3000,Virtual Account,2,5,No,,2025-10,116000,48000,68000,Yes,60
ORD00060,2025-12-15,Completed,C0690,Returning,55+,Incheon,Electronics,Smart Watch,Pulse,3,99000,47000,0,3000,Mobile Pay,3,5,No,,2025-12,297000,141000,156000,Yes,61
ORD00061,2025-09-15,Completed,C0283,New,18-24,Gangwon,Home,Storage Box Set,NeatHome,2,29000,12000,0,3000,Card,6,3,No,,2025-09,58000,24000,34000,Yes,62
ORD00062,2025-09-17,Completed,C0072,New,25-34,Gwangju,Food,Gift Snack Box,HappyBox,1,33000,14000,0,3000,Virtual Account,4,5,No,,2025-09,33000,14000,19000,Yes,63
ORD00063,2025-09-28,Completed,C0114,Returning,25-34,Gangwon,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Card,5,5,No,,2025-09,45000,21000,24000,Yes,64
ORD00064,2025-10-13,Completed,C0501,Returning,45-54,Incheon,Beauty,Lip Tint,Mellow,2,14000,5000,0,3000,Virtual Account,1,4,No,,2025-10,28000,10000,18000,Yes,65
ORD00066,2025-11-11,Completed,C0536,New,45-54,Jeju,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0,3000,Bank Transfer,2,5,No,,2025-11,32000,15000,17000,Yes,67
ORD00067,2025-11-02,Completed,C0628,Returning,25-34,Gwangju,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Mobile Pay,2,5,No,,2025-11,94000,40000,54000,Yes,68
ORD00068,2025-02-26,Completed,C0464,New,45-54,Gyeonggi,Electronics,Smart Watch,Pulse,2,99000,47000,0,3000,Card,3,5,No,,2025-02,198000,94000,104000,Yes,69
ORD00070,2025-01-13,Completed,C0105,New,18-24,Gangwon,Electronics,Smart Watch,Pulse,3,99000,47000,0,3000,Virtual Account,9,3,No,,2025-01,297000,141000,156000,Yes,71
ORD00071,2025-10-29,Completed,C0524,New,35-44,Seoul,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,3000,Virtual Account,1,,No,,2025-10,96000,45000,51000,Yes,72
ORD00072,2025-11-29,Completed,C0754,New,35-44,Seoul,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0,3000,Bank Transfer,1,4,No,,2025-11,260000,124000,136000,Yes,73
ORD00073,2025-03-16,Completed,C0085,New,18-24,Daejeon,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Mobile Pay,5,5,No,,2025-03,94000,40000,54000,Yes,74
ORD00074,2025-10-14,Completed,C0375,Returning,25-34,Daegu,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0.1,3000,Mobile Pay,5,4,No,,2025-10,16200,7000,9200,Yes,75
ORD00075,2025-11-29,Completed,C0485,New,55+,Daegu,Home,Storage Box Set,NeatHome,3,29000,12000,0.15,0,Virtual Account,2,5,No,,2025-11,73950,36000,37950,Yes,76
ORD00076,2025-10-01,Completed,C0569,Returning,18-24,Busan,Pet,Pet Bed,ComfyPaws,3,47000,20000,0,3000,Card,2,5,No,,2025-10,141000,60000,81000,Yes,77
ORD00077,2025-06-11,Completed,C0821,Returning,45-54,Daegu,Food,Gift Snack Box,HappyBox,2,33000,14000,0,3000,Virtual Account,2,5,No,,2025-06,66000,28000,38000,Yes,78
ORD00078,2025-10-31,Completed,C0559,VIP,55+,Gangwon,Beauty,Lip Tint,Mellow,1,14000,5000,0,3000,Bank Transfer,6,3,No,,2025-10,14000,5000,9000,Yes,79
ORD00079,2025-11-13,Completed,C0159,Returning,18-24,Incheon,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0,3000,Bank Transfer,1,4,No,,2025-11,18000,7000,11000,Yes,80
ORD00080,2025-09-19,Completed,C0839,Returning,55+,Gangwon,Pet,Cat Toy Bundle,PawJoy,3,19000,8000,0,0,Mobile Pay,2,4,No,,2025-09,57000,24000,33000,Yes,81
ORD00081,2025-10-17,Completed,C0491,VIP,25-34,Gwangju,Beauty,Lip Tint,Mellow,3,14000,5000,0.05,3000,Bank Transfer,4,5,No,,2025-10,39900,15000,24900,Yes,82
ORD00082,2025-09-24,Completed,C0610,VIP,18-24,Gyeonggi,Fashion,Crossbody Bag,Morrow,1,43000,18000,0,0,Bank Transfer,3,4,No,,2025-09,43000,18000,25000,Yes,83
ORD00083,2025-09-06,Completed,C0083,New,18-24,Daejeon,Home,Desk Lamp,Lumen,3,39000,16000,0,3000,Mobile Pay,2,3,Yes,Late delivery,2025-09,117000,48000,69000,Yes,84
ORD00084,2025-01-26,Completed,C0211,Returning,55+,Gangwon,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,3000,Card,3,5,No,,2025-01,47000,20000,27000,Yes,85
ORD00085,2025-08-26,Completed,C0344,New,55+,Gyeonggi,Food,Coffee Bean 1kg,BeanRoot,1,32000,15000,0.1,3000,Bank Transfer,3,5,No,,2025-08,28800,15000,13800,Yes,86
ORD00086,2025-11-28,Completed,C0187,New,25-34,Gyeonggi,Food,Gift Snack Box,HappyBox,3,33000,14000,0,3000,Card,4,5,No,,2025-11,99000,42000,57000,Yes,87
ORD00087,2025-10-15,Completed,C0172,New,35-44,Gyeonggi,Beauty,Hydrating Serum,PureLab,1,22000,9000,0,3000,Card,2,4,No,,2025-10,22000,9000,13000,Yes,88
ORD00088,2025-03-22,Completed,C0697,New,25-34,Gwangju,Food,Protein Bar Pack,FitBite,1,28000,12000,0.2,3000,Card,4,4,No,,2025-03,22400,12000,10400,Yes,89
ORD00089,2025-10-08,Completed,C0428,New,45-54,Gyeonggi,Pet,Cat Toy Bundle,PawJoy,4,19000,8000,0,3000,Bank Transfer,2,5,No,,2025-10,76000,32000,44000,Yes,90
ORD00090,2025-02-11,Completed,C0476,Returning,55+,Incheon,Electronics,Bluetooth Speaker,Soundly,1,65000,31000,0,3000,Card,3,,No,,2025-02,65000,31000,34000,Yes,91
ORD00091,2025-05-14,Completed,C0491,VIP,35-44,Jeju,Electronics,Wireless Earbuds,Nova,3,49000,24000,0,3000,Mobile Pay,5,5,No,,2025-05,147000,72000,75000,Yes,92
ORD00092,2025-05-03,Completed,C0763,New,25-34,Busan,Food,Protein Bar Pack,FitBite,2,28000,12000,0,3000,Bank Transfer,3,5,No,,2025-05,56000,24000,32000,Yes,93
ORD00093,2025-07-31,Completed,C0040,Returning,55+,Daegu,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,3000,Virtual Account,4,4,No,,2025-07,96000,45000,51000,Yes,94
ORD00094,2025-11-14,Completed,C0283,VIP,55+,Daegu,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,3000,Card,5,5,No,,2025-11,90000,42000,48000,Yes,95
ORD00095,2025-11-15,Completed,C0143,New,18-24,Daejeon,Fashion,Crossbody Bag,Morrow,3,43000,18000,0,3000,Bank Transfer,5,4,No,,2025-11,129000,54000,75000,Yes,96
ORD00096,2025-12-24,Completed,C0126,New,55+,Seoul,Pet,Pet Bed,ComfyPaws,4,47000,20000,0.25,3000,Virtual Account,5,5,No,,2025-12,141000,80000,61000,Yes,97
ORD00098,2025-06-08,Completed,C0450,Returning,35-44,Jeju,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,3000,Virtual Account,1,5,No,,2025-06,172000,72000,100000,Yes,99
ORD00099,2025-09-15,Completed,C0293,New,18-24,Jeju,Pet,Dog Treats 1kg,Barkly,3,25000,11000,0.25,3000,Mobile Pay,6,3,No,,2025-09,56250,33000,23250,Yes,100
ORD00100,2025-09-10,Completed,C0406,Returning,25-34,Jeju,Pet,Pet Bed,ComfyPaws,1,47000,20000,0,0,Bank Transfer,3,5,No,,2025-09,47000,20000,27000,Yes,101
ORD00101,2025-09-12,Completed,C0615,Returning,18-24,Gwangju,Pet,Pet Bed,ComfyPaws,2,47000,20000,0,0,Bank Transfer,3,4,No,,2025-09,94000,40000,54000,Yes,102
ORD00102,2025-11-13,Completed,C0848,Returning,35-44,Daejeon,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Card,1,5,No,,2025-11,45000,21000,24000,Yes,103
ORD00103,2025-02-13,Completed,C0449,Returning,18-24,Busan,Home,Desk Lamp,Lumen,2,39000,16000,0,0,Mobile Pay,5,4,No,,2025-02,78000,32000,46000,Yes,104
ORD00104,2025-06-05,Completed,C0299,Returning,45-54,Busan,Food,Coffee Bean 1kg,BeanRoot,3,32000,15000,0,0,Bank Transfer,5,5,No,,2025-06,96000,45000,51000,Yes,105
ORD00105,2025-04-26,Completed,C0624,New,35-44,Gangwon,Beauty,Lip Tint,Mellow,4,14000,5000,0.2,3000,Virtual Account,1,5,No,,2025-04,44800,20000,24800,Yes,106
ORD00106,2025-12-23,Completed,C0101,Returning,18-24,Gwangju,Beauty,Lip Tint,Mellow,2,14000,5000,0,0,Bank Transfer,2,5,No,,2025-12,28000,10000,18000,Yes,107
ORD00107,2025-06-05,Completed,C0337,VIP,45-54,Daejeon,Pet,Dog Treats 1kg,Barkly,1,25000,11000,0,0,Card,5,4,No,,2025-06,25000,11000,14000,Yes,108
ORD00108,2025-05-16,Completed,C0105,New,18-24,Jeju,Fashion,Oversized Hoodie,Northline,3,45000,21000,0,3000,Virtual Account,6,4,No,,2025-05,135000,63000,72000,Yes,109
ORD00109,2025-07-01,Completed,C0196,VIP,35-44,Daejeon,Home,Desk Lamp,Lumen,1,39000,16000,0.25,3000,Bank Transfer,1,,No,,2025-07,29250,16000,13250,Yes,110
ORD00110,2025-01-24,Completed,C0767,New,55+,Gangwon,Electronics,Bluetooth Speaker,Soundly,2,65000,31000,0.15,3000,Mobile Pay,6,3,No,,2025-01,110500,62000,48500,Yes,111
ORD00111,2025-08-08,Completed,C0418,Returning,18-24,Incheon,Fashion,Oversized Hoodie,Northline,4,45000,21000,0.2,3000,Bank Transfer,2,5,No,,2025-08,144000,84000,60000,Yes,112
ORD00114,2025-02-19,Completed,C0521,New,35-44,Daejeon,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0,3000,Mobile Pay,1,5,No,,2025-02,38000,16000,22000,Yes,115
ORD00115,2025-10-03,Completed,C0300,New,18-24,Busan,Electronics,Wireless Earbuds,Nova,4,49000,24000,0,0,Bank Transfer,3,5,No,,2025-10,196000,96000,100000,Yes,116
ORD00116,2025-04-14,Completed,C0234,New,35-44,Incheon,Beauty,Hydrating Serum,PureLab,3,22000,9000,0.05,3000,Card,3,4,No,,2025-04,62700,27000,35700,Yes,117
ORD00118,2025-09-08,Completed,C0246,VIP,55+,Gwangju,Home,Desk Lamp,Lumen,4,39000,16000,0,3000,Card,5,5,No,,2025-09,156000,64000,92000,Yes,119
ORD00119,2025-02-08,Completed,C0248,New,25-34,Daejeon,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,0,Mobile Pay,3,4,No,,2025-02,172000,72000,100000,Yes,120
ORD00120,2025-05-01,Completed,C0103,New,35-44,Gangwon,Electronics,Smart Watch,Pulse,4,99000,47000,0,3000,Bank Transfer,7,4,No,,2025-05,396000,188000,208000,Yes,121
ORD00121,2025-05-14,Completed,C0649,VIP,55+,Busan,Beauty,Lip Tint,Mellow,3,14000,5000,0,0,Card,4,4,No,,2025-05,42000,15000,27000,Yes,122
ORD00122,2025-03-24,Completed,C0759,New,45-54,Busan,Fashion,Crossbody Bag,Morrow,4,43000,18000,0,3000,Bank Transfer,4,5,No,,2025-03,172000,72000,100000,Yes,123
ORD00123,2025-11-28,Completed,C0812,VIP,35-44,Busan,Food,Coffee Bean 1kg,BeanRoot,4,32000,15000,0,3000,Mobile Pay,2,,No,,2025-11,128000,60000,68000,Yes,124
ORD00124,2025-08-06,Completed,C0315,Returning,25-34,Gwangju,Food,Gift Snack Box,HappyBox,1,33000,14000,0,0,Bank Transfer,3,4,No,,2025-08,33000,14000,19000,Yes,125
ORD00125,2025-01-11,Completed,C0547,New,18-24,Gangwon,Fashion,Oversized Hoodie,Northline,2,45000,21000,0,3000,Card,9,4,No,,2025-01,90000,42000,48000,Yes,126
ORD00126,2025-12-30,Completed,C0496,Returning,18-24,Gangwon,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,0,Virtual Account,3,5,No,,2025-12,88000,36000,52000,Yes,127
ORD00127,2025-02-25,Completed,C0716,New,18-24,Gwangju,Food,Protein Bar Pack,FitBite,1,28000,12000,0.2,3000,Card,4,5,No,,2025-02,22400,12000,10400,Yes,128
ORD00128,2025-05-12,Completed,C0729,Returning,55+,Daejeon,Pet,Pet Bed,ComfyPaws,4,47000,20000,0,3000,Virtual Account,1,5,No,,2025-05,188000,80000,108000,Yes,129
ORD00129,2025-01-15,Completed,C0688,Returning,18-24,Gangwon,Beauty,Hydrating Serum,PureLab,4,22000,9000,0,3000,Card,7,4,No,,2025-01,88000,36000,52000,Yes,130
ORD00130,2025-05-27,Completed,C0769,New,18-24,Gangwon,Home,Storage Box Set,NeatHome,1,29000,12000,0,0,Bank Transfer,8,2,Yes,Wrong size,2025-05,29000,12000,17000,Yes,131
ORD00131,2025-10-08,Completed,C0335,VIP,18-24,Daejeon,Beauty,Lip Tint,Mellow,3,14000,5000,0.15,3000,Bank Transfer,3,5,No,,2025-10,35700,15000,20700,Yes,132
ORD00132,2025-04-12,Completed,C0727,New,55+,Daegu,Fashion,Oversized Hoodie,Northline,1,45000,21000,0,3000,Virtual Account,5,4,No,,2025-04,45000,21000,24000,Yes,133
ORD00133,2025-11-04,Completed,C0738,New,35-44,Jeju,Home,Storage Box Set,NeatHome,3,29000,12000,0,3000,Mobile Pay,5,4,No,,2025-11,87000,36000,51000,Yes,134
ORD00134,2025-07-18,Completed,C0072,VIP,35-44,Gyeonggi,Home,Storage Box Set,NeatHome,4,29000,12000,0,3000,Card,2,5,No,,2025-07,116000,48000,68000,Yes,135
ORD00135,2025-10-23,Completed,C0283,VIP,18-24,Jeju,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Card,7,3,No,,2025-10,19000,8000,11000,Yes,136
ORD00137,2025-12-26,Completed,C0117,VIP,25-34,Daegu,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0.15,0,Virtual Account,5,5,No,,2025-12,16150,8000,8150,Yes,138
ORD00138,2025-01-06,Completed,C0023,Returning,25-34,Jeju,Electronics,Bluetooth Speaker,Soundly,4,65000,31000,0.1,3000,Mobile Pay,9,4,No,,2025-01,234000,124000,110000,Yes,139
ORD00139,2025-06-07,Completed,C0434,New,55+,Busan,Food,Gift Snack Box,HappyBox,3,33000,14000,0,0,Card,5,4,No,,2025-06,99000,42000,57000,Yes,140
ORD00140,2025-12-09,Completed,C0344,VIP,55+,Gwangju,Fashion,Canvas Sneakers,Walkon,1,59000,26000,0,3000,Card,2,5,No,,2025-12,59000,26000,33000,Yes,141
ORD00141,2025-03-02,Completed,C0837,New,35-44,Daegu,Beauty,Sunscreen SPF50,Glow,1,18000,7000,0,3000,Card,5,4,No,,2025-03,18000,7000,11000,Yes,142
ORD00142,2025-08-11,Completed,C0399,Returning,45-54,Daejeon,Pet,Pet Bed,ComfyPaws,2,47000,20000,0.25,3000,Mobile Pay,3,5,No,,2025-08,70500,40000,30500,Yes,143
ORD00143,2025-06-21,Completed,C0264,VIP,45-54,Gangwon,Home,Storage Box Set,NeatHome,1,29000,12000,0,3000,Card,1,4,No,,2025-06,29000,12000,17000,Yes,144
ORD00144,2025-01-30,Completed,C0414,VIP,25-34,Gangwon,Fashion,Canvas Sneakers,Walkon,3,59000,26000,0,3000,Virtual Account,1,5,No,,2025-01,177000,78000,99000,Yes,145
ORD00145,2025-01-08,Completed,C0236,New,55+,Gwangju,Pet,Cat Toy Bundle,PawJoy,1,19000,8000,0,3000,Virtual Account,4,5,No,,2025-01,19000,8000,11000,Yes,146
ORD00146,2025-12-18,Completed,C0179,Returning,18-24,Gangwon,Pet,Cat Toy Bundle,PawJoy,2,19000,8000,0.15,3000,Mobile Pay,5,4,No,,2025-12,32300,16000,16300,Yes,147
ORD00147,2025-06-30,Completed,C0191,VIP,55+,Gyeonggi,Home,Desk Lamp,Lumen,4,39000,16000,0.2,3000,Bank Transfer,3,4,No,,2025-06,124800,64000,60800,Yes,148
